Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
175,98.468,99.998,92.28,99.78
176,98.478,99.994,92.42,99.79
177,98.588,99.996,92.47,99.76
178,98.54,99.996,92.28,99.79
179,98.618,99.998,92.45,99.77
180,98.594,99.998,92.3,99.77
181,98.536,99.994,92.23,99.78
182,98.582,99.996,92.4,99.71
183,98.638,100.0,92.39,99.77
184,98.582,99.996,92.37,99.73
185,98.56,99.996,92.33,99.72
186,98.604,99.998,91.85,99.66
187,98.702,100.0,92.14,99.7
188,98.664,99.994,92.34,99.77
189,98.578,99.996,92.34,99.78
190,98.636,100.0,91.89,99.77
191,98.73,99.998,91.93,99.79
192,98.624,99.998,92.08,99.78
193,98.564,99.996,92.26,99.68
194,98.708,99.996,92.27,99.69
195,98.59,99.998,92.16,99.8
196,98.582,100.0,91.88,99.76
197,98.682,100.0,91.81,99.67
198,98.542,99.994,91.84,99.62
199,98.662,99.996,92.0,99.76
200,98.644,100.0,92.05,99.73
201,98.618,99.998,91.86,99.7
202,98.536,99.998,92.05,99.72
203,98.576,99.996,92.03,99.71
204,98.642,99.996,91.8,99.77
205,98.688,100.0,91.94,99.71
206,98.418,99.998,91.68,99.7
207,98.536,99.998,92.37,99.71
208,98.538,100.0,91.23,99.7
209,98.554,100.0,91.83,99.74
210,98.628,99.996,91.78,99.71
211,98.592,99.998,91.45,99.67
212,98.514,99.998,92.13,99.7
213,98.576,100.0,91.86,99.75
214,98.578,99.994,92.02,99.67
215,98.352,99.996,91.51,99.66
216,98.48,99.996,91.69,99.74
217,98.498,99.996,91.75,99.74
218,98.51,100.0,91.75,99.69
219,98.568,99.994,91.7,99.75
220,98.546,100.0,91.69,99.67
221,98.404,99.996,91.83,99.69
222,98.572,99.998,91.84,99.74
223,98.428,99.994,91.47,99.73
224,98.542,100.0,91.99,99.78
225,99.138,99.996,92.7,99.79
226,99.4,99.998,92.62,99.8
227,99.486,100.0,92.72,99.82
228,99.55,100.0,92.83,99.81
229,99.596,100.0,92.91,99.83
230,99.574,100.0,92.82,99.81
231,99.686,100.0,93.0,99.8
232,99.648,100.0,92.97,99.84
233,99.678,100.0,92.92,99.82
234,99.664,100.0,93.02,99.82
235,99.684,100.0,92.81,99.83
236,99.728,100.0,93.01,99.8
237,99.74,100.0,92.92,99.84
238,99.744,100.0,92.92,99.79
239,99.776,100.0,93.08,99.83
240,99.766,100.0,92.99,99.8
241,99.772,100.0,93.17,99.84
242,99.794,100.0,93.03,99.83
243,99.724,100.0,93.02,99.82
244,99.758,100.0,93.13,99.78
245,99.806,100.0,93.07,99.83
246,99.734,100.0,93.08,99.81
247,99.782,100.0,93.13,99.77
248,99.772,100.0,93.0,99.77
249,99.808,100.0,93.07,99.8
250,99.802,100.0,93.06,99.8
251,99.822,100.0,93.14,99.8
252,99.832,100.0,93.06,99.79
253,99.846,100.0,93.05,99.8
254,99.788,100.0,93.26,99.78
255,99.828,100.0,93.12,99.79
256,99.788,100.0,93.2,99.81
257,99.816,100.0,93.11,99.81
258,99.822,100.0,92.96,99.79
259,99.83,100.0,93.22,99.8
260,99.854,100.0,93.17,99.81
261,99.838,100.0,93.03,99.82
262,99.834,100.0,93.04,99.79
263,99.848,100.0,93.04,99.8
264,99.822,100.0,93.13,99.79
265,99.872,100.0,93.11,99.77
266,99.87,100.0,93.14,99.78
267,99.852,100.0,93.13,99.79
268,99.842,100.0,93.13,99.74
269,99.83,100.0,93.0,99.76
270,99.85,100.0,93.1,99.79
271,99.816,100.0,93.05,99.76
272,99.864,100.0,92.98,99.76
273,99.816,100.0,93.0,99.77
274,99.838,100.0,93.03,99.75
275,99.86,100.0,93.09,99.77
276,99.838,100.0,93.17,99.76
277,99.844,100.0,93.08,99.75
278,99.882,100.0,93.16,99.76
279,99.872,100.0,93.06,99.78
280,99.856,100.0,93.17,99.76
281,99.878,100.0,93.26,99.75
282,99.872,100.0,93.12,99.72
283,99.866,100.0,93.01,99.73
284,99.86,100.0,93.17,99.73
285,99.83,100.0,93.14,99.76
286,99.846,100.0,93.1,99.73
287,99.882,100.0,93.12,99.74
288,99.908,100.0,93.0,99.76
289,99.884,100.0,93.0,99.74
290,99.884,100.0,93.11,99.72
291,99.88,100.0,93.18,99.76
292,99.844,100.0,93.08,99.76
293,99.88,100.0,93.09,99.76
294,99.864,100.0,93.01,99.76
295,99.892,100.0,93.06,99.76
296,99.86,100.0,93.23,99.75
297,99.9,100.0,93.04,99.72
298,99.86,100.0,92.93,99.76
299,99.894,100.0,92.99,99.76
