Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,42.276,89.514,55.11,95.22
1,63.494,96.584,64.26,96.68
2,71.608,97.922,71.18,97.78
3,75.44,98.484,66.27,94.84
4,77.886,98.684,74.89,98.28
5,79.552,98.888,77.91,98.76
6,80.834,99.044,78.91,98.83
7,82.12,99.128,77.91,98.37
8,82.956,99.224,74.96,99.08
9,84.02,99.254,79.1,98.71
10,84.222,99.286,77.5,98.83
11,84.7,99.432,82.22,98.92
12,85.1,99.426,80.24,98.88
13,85.728,99.452,83.41,99.2
14,86.204,99.476,82.74,99.01
15,86.324,99.436,82.06,98.99
16,86.59,99.486,82.54,99.23
17,86.856,99.53,83.86,99.01
18,86.952,99.534,81.78,99.08
19,87.028,99.55,84.29,99.31
20,87.41,99.556,84.57,99.34
21,87.704,99.574,82.13,99.06
22,87.912,99.554,84.27,99.04
23,87.766,99.592,79.02,98.65
24,87.836,99.652,83.57,99.24
25,88.46,99.632,84.18,99.1
26,88.368,99.628,85.64,99.45
27,88.496,99.67,84.18,99.16
28,88.6,99.64,81.66,98.6
29,88.748,99.666,83.58,99.33
30,88.818,99.624,83.04,99.45
31,88.868,99.674,84.83,99.33
32,88.998,99.7,83.13,99.25
33,88.956,99.652,82.01,99.12
34,88.764,99.672,85.65,99.35
35,89.25,99.716,84.83,99.39
36,89.328,99.67,85.51,99.19
37,89.228,99.716,85.81,99.31
38,89.284,99.678,83.16,99.1
39,89.404,99.664,83.79,99.04
40,89.53,99.694,80.13,99.24
41,89.796,99.718,85.1,99.46
42,89.658,99.714,84.27,99.46
43,89.552,99.686,85.89,99.38
44,89.724,99.72,83.32,99.09
45,89.784,99.75,82.6,99.35
46,89.856,99.69,85.43,99.33
47,89.818,99.69,83.45,98.41
48,89.864,99.768,85.03,99.31
49,89.762,99.656,86.98,99.55
50,89.798,99.746,83.25,99.4
51,89.99,99.724,84.91,99.32
52,90.004,99.746,84.03,99.47
53,89.852,99.742,87.22,99.5
54,89.93,99.718,85.62,99.39
55,90.052,99.736,85.82,99.24
56,89.8,99.714,85.59,99.27
57,90.122,99.742,85.47,99.5
58,90.116,99.746,85.42,99.07
59,90.096,99.726,86.57,99.52
60,90.2,99.73,87.03,99.5
61,90.164,99.73,84.62,99.25
62,90.106,99.732,85.23,99.31
63,90.182,99.732,83.74,99.18
64,90.256,99.724,85.62,99.19
65,90.246,99.746,82.37,99.15
66,90.24,99.762,85.85,99.44
67,90.218,99.75,85.79,99.34
68,90.09,99.762,82.82,99.06
69,90.336,99.692,86.79,99.45
70,90.448,99.802,82.14,98.63
71,90.226,99.71,84.71,99.32
72,90.248,99.712,86.35,99.45
73,90.494,99.744,84.5,99.27
74,90.558,99.732,87.39,99.51
75,90.642,99.72,87.3,99.22
76,90.652,99.748,83.74,98.98
77,90.54,99.734,86.26,99.38
78,90.468,99.75,83.74,99.14
79,90.374,99.746,85.99,99.47
80,90.528,99.754,84.08,98.79
81,90.47,99.752,83.05,99.25
82,90.444,99.746,85.56,99.38
83,90.606,99.786,82.07,99.01
84,90.424,99.768,84.13,99.29
85,90.628,99.756,87.44,99.56
86,90.728,99.738,82.13,99.17
87,90.484,99.736,82.49,99.41
88,90.65,99.75,84.82,99.33
89,90.636,99.766,85.7,99.29
90,90.55,99.772,84.4,99.44
91,90.534,99.76,86.64,99.5
92,90.786,99.76,81.01,98.81
93,90.524,99.778,83.12,98.98
94,90.528,99.744,84.71,99.24
95,90.484,99.732,86.85,99.41
96,90.796,99.716,85.76,99.2
97,90.754,99.78,86.91,99.48
98,90.764,99.734,85.1,99.33
99,90.728,99.738,83.1,99.33
