Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,7.95,26.106,10.11,31.96
1,17.966,45.522,20.72,47.83
2,27.88,59.478,27.48,58.97
3,35.318,68.126,29.96,62.25
4,40.462,73.45,39.34,71.49
5,44.65,77.164,41.53,73.42
6,47.97,79.826,40.95,73.88
7,50.228,81.618,46.88,77.92
8,52.222,82.972,45.82,76.48
9,53.816,84.054,48.29,79.08
10,55.336,84.93,48.93,79.41
11,56.51,85.684,47.75,79.75
12,57.476,86.522,52.88,82.63
13,58.386,86.956,52.18,81.22
14,59.008,87.298,52.65,82.41
15,60.096,88.014,51.59,81.09
16,60.692,88.268,52.61,82.22
17,61.33,88.718,51.38,80.89
18,61.694,88.898,55.34,84.5
19,61.88,89.176,55.9,84.92
20,62.604,89.488,55.94,84.04
21,62.898,89.61,54.92,84.03
22,63.41,89.876,51.56,81.24
23,63.51,90.044,55.01,83.75
24,63.852,90.088,56.59,84.08
25,63.936,90.38,53.27,82.62
26,64.572,90.476,54.92,83.06
27,64.624,90.458,51.23,81.9
28,64.806,90.622,57.18,85.1
29,65.2,90.74,54.71,83.62
30,65.502,90.984,56.11,85.08
31,65.712,91.046,55.45,83.76
32,65.864,91.044,56.77,84.46
33,65.884,91.122,59.66,86.48
34,66.028,91.33,53.25,82.63
35,66.36,91.378,57.87,85.21
36,66.422,91.424,54.45,83.04
37,66.472,91.634,58.79,86.43
38,66.516,91.668,55.78,84.14
39,66.84,91.626,56.08,84.24
40,67.134,91.782,57.39,85.4
41,66.678,91.788,57.72,85.77
42,67.412,91.818,55.69,85.1
43,67.33,91.81,55.47,84.42
44,67.188,91.87,58.03,85.69
45,67.3,91.938,52.75,82.58
46,67.39,91.934,60.93,87.24
47,67.67,91.984,56.63,84.78
48,67.742,92.1,59.3,85.91
49,67.91,92.148,60.14,86.77
50,67.708,92.092,58.66,86.41
51,67.848,92.118,57.91,85.96
52,68.078,92.324,54.48,82.54
53,68.164,92.334,60.23,87.43
54,68.002,92.306,50.62,81.07
55,67.856,92.442,58.57,86.56
56,68.58,92.494,57.67,85.62
57,68.356,92.222,55.01,83.11
58,68.706,92.672,58.61,85.96
59,68.194,92.574,58.88,86.3
60,68.544,92.362,59.32,86.4
61,68.402,92.38,57.83,85.39
62,68.732,92.594,57.7,85.69
63,68.442,92.492,59.39,87.15
64,68.748,92.562,62.02,87.83
65,68.77,92.73,60.25,87.09
66,68.926,92.704,57.35,84.46
67,68.672,92.51,59.45,85.89
68,68.962,92.666,54.33,83.5
69,68.772,92.672,59.96,86.55
70,69.808,93.016,56.48,84.67
71,70.308,93.284,61.09,87.42
72,70.516,93.272,60.02,87.0
73,70.258,93.396,61.72,87.92
74,70.17,93.218,61.39,87.45
75,70.408,93.358,60.71,87.44
76,70.126,93.36,58.3,86.09
77,70.086,93.306,58.11,85.95
78,70.782,93.43,61.21,87.26
79,70.266,93.328,61.73,87.56
80,70.268,93.342,60.01,87.18
81,70.204,93.268,60.02,86.03
82,70.576,93.376,57.24,85.37
83,70.472,93.498,60.91,87.47
84,70.264,93.404,59.35,86.7
85,70.446,93.298,59.64,86.12
86,70.014,93.296,60.04,87.16
87,70.69,93.486,58.0,85.9
88,70.368,93.44,59.83,86.98
89,70.712,93.502,60.77,86.65
90,70.508,93.488,60.96,87.05
91,70.368,93.452,59.73,87.14
92,70.546,93.484,61.2,87.84
