Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,7.916,26.018,11.62,34.19
1,17.866,45.474,19.7,46.86
2,27.314,58.814,28.59,60.78
3,34.79,67.944,31.78,64.47
4,40.444,73.354,35.25,68.39
5,44.352,77.072,37.79,70.47
6,47.682,79.61,41.22,72.17
7,50.552,81.688,43.98,76.29
8,52.382,82.93,47.38,78.84
9,53.882,84.232,46.75,77.56
10,55.15,85.0,50.1,81.34
11,56.4,85.784,48.09,78.59
12,57.476,86.468,51.39,81.8
13,58.618,87.042,48.95,79.98
14,59.53,87.562,46.3,78.46
15,59.968,87.652,54.56,83.11
16,60.358,88.1,53.76,82.65
17,60.948,88.652,54.42,84.28
18,61.376,88.956,54.42,83.16
19,62.2,89.218,54.11,83.29
20,62.654,89.34,53.22,82.08
21,62.888,89.588,50.92,80.67
22,63.11,89.83,54.22,83.87
23,63.51,90.162,51.01,81.57
24,63.712,90.096,53.86,82.22
25,64.388,90.364,58.28,85.64
26,64.754,90.46,56.98,85.21
27,64.806,90.65,52.72,82.38
28,64.852,90.684,56.68,85.36
29,65.32,90.776,56.72,84.91
30,65.812,91.234,56.71,84.62
31,65.522,91.244,57.73,85.77
32,65.93,91.216,56.96,85.9
33,66.11,91.404,57.05,85.18
34,66.532,91.442,55.42,83.62
35,66.702,91.65,54.09,82.9
36,66.552,91.388,56.71,85.4
37,66.662,91.742,59.3,86.61
38,66.956,91.686,53.37,81.6
39,67.122,91.59,57.42,84.96
40,66.866,91.784,58.45,86.57
41,67.198,91.642,57.3,85.91
42,67.484,91.934,60.25,87.67
43,67.442,92.104,59.15,86.25
44,67.616,91.908,59.01,86.33
45,67.658,92.166,55.4,84.18
46,67.77,92.09,59.27,86.65
47,67.932,92.278,58.38,86.42
48,67.934,92.232,57.42,85.71
49,68.214,92.304,55.97,84.84
50,67.984,92.424,54.69,83.27
51,68.27,92.468,57.91,85.15
52,68.292,92.36,56.55,85.03
53,68.24,92.538,60.14,87.37
54,68.192,92.49,51.46,80.93
55,68.45,92.442,56.48,84.78
56,68.526,92.624,60.17,87.33
57,68.198,92.544,58.82,85.97
58,68.304,92.64,59.31,86.8
59,68.752,92.792,56.85,84.7
60,68.692,92.682,58.41,86.52
61,68.962,92.768,55.99,84.05
62,68.656,92.686,55.92,84.6
63,68.626,92.782,60.02,86.46
64,68.63,92.822,59.68,87.04
65,69.162,92.782,59.26,86.21
66,69.138,92.75,57.45,84.83
67,68.796,92.592,59.27,85.98
68,68.616,92.764,56.72,84.32
69,68.71,92.532,58.58,86.84
70,70.258,93.312,57.04,85.32
71,70.104,93.388,59.18,86.39
72,70.724,93.52,61.22,87.77
73,70.51,93.692,59.36,86.47
74,70.296,93.412,61.47,87.96
75,70.51,93.422,60.01,86.91
76,70.336,93.576,60.04,87.38
77,70.846,93.586,57.72,85.58
78,70.654,93.488,60.41,87.01
79,70.91,93.51,58.13,86.03
80,70.572,93.412,59.27,86.18
81,70.148,93.496,60.08,87.58
82,70.57,93.334,60.7,87.33
83,69.992,93.278,60.58,87.32
84,70.664,93.532,59.25,86.81
85,70.692,93.668,60.72,87.53
86,70.604,93.584,49.72,79.88
87,70.682,93.422,60.29,87.5
88,70.64,93.452,61.21,87.88
89,70.678,93.458,61.26,87.7
90,70.314,93.398,60.8,87.49
91,70.26,93.554,59.86,86.53
92,70.816,93.648,59.23,86.79
93,70.642,93.43,56.57,85.12
94,70.436,93.464,61.13,88.08
95,70.56,93.436,61.58,88.33
96,70.468,93.614,61.28,87.96
97,70.558,93.626,59.74,87.08
98,70.772,93.394,61.44,87.6
99,70.604,93.524,62.05,88.53
100,70.372,93.462,60.2,86.7
101,70.54,93.496,60.76,87.31
102,70.73,93.558,58.04,86.9
103,70.56,93.462,61.98,88.47
104,70.588,93.616,62.35,88.84
105,70.548,93.42,59.89,87.0
106,70.608,93.556,62.65,88.63
107,70.506,93.352,58.53,85.73
108,70.244,93.368,61.75,88.3
109,70.288,93.572,59.47,87.34
110,70.202,93.354,61.37,88.12
111,70.404,93.31,62.11,88.7
112,70.364,93.318,60.98,88.03
113,70.252,93.364,62.45,88.79
114,70.054,93.22,59.36,86.14
115,70.07,93.292,62.68,88.63
116,70.284,93.394,58.55,86.96
117,70.18,93.216,58.8,85.28
118,69.81,93.308,56.18,84.88
119,70.154,93.322,60.86,87.67
120,69.828,93.03,59.92,87.43
121,70.028,93.314,59.66,86.53
122,69.928,93.192,61.06,88.19
123,69.808,93.114,59.94,87.28
124,70.052,93.116,60.74,87.47
125,69.658,93.146,58.94,86.45
126,69.746,93.07,61.53,87.76
127,69.766,93.072,61.98,88.04
128,69.276,93.054,61.14,87.89
129,69.488,93.062,61.24,87.43
130,69.378,92.866,60.53,87.51
131,69.432,92.982,60.33,87.65
132,69.084,92.988,59.66,87.4
133,68.97,92.85,60.11,87.34
134,69.03,92.898,56.13,83.96
135,69.236,92.854,61.55,88.29
136,69.216,92.824,60.54,87.43
137,68.932,92.8,59.26,86.86
138,68.956,92.786,59.39,87.0
139,68.972,92.834,56.77,84.77
140,68.694,92.628,61.06,87.91
141,68.624,92.806,60.78,87.95
142,68.7,92.682,60.86,87.59
143,68.282,92.662,58.51,86.49
144,68.502,92.544,59.95,86.95
145,68.534,92.486,62.52,88.63
146,68.272,92.488,61.08,87.95
147,68.428,92.426,58.87,86.52
148,68.21,92.428,57.25,85.64
149,67.914,92.342,58.92,86.31
150,74.196,94.734,67.73,91.28
151,76.0,95.276,68.74,91.48
152,76.592,95.548,68.64,91.72
153,76.758,95.756,69.01,91.68
154,77.454,95.854,68.78,91.74
155,77.512,95.88,69.08,91.81
156,77.516,95.972,68.88,91.95
157,77.732,95.932,68.78,91.84
158,77.792,96.002,68.49,91.71
159,77.89,96.07,68.64,91.84
160,77.95,96.13,68.63,91.72
161,77.814,96.04,68.87,91.76
162,77.876,96.098,68.26,91.74
163,77.622,96.062,68.63,91.85
164,77.952,96.154,68.6,91.74
165,77.756,96.02,68.85,91.6
166,77.698,95.984,68.79,91.69
167,77.54,96.04,68.4,91.55
168,77.638,95.958,68.51,91.45
169,77.634,96.046,68.32,91.48
170,77.438,96.05,68.25,91.55
171,77.528,95.994,68.1,91.58
172,77.344,95.914,68.04,91.55
173,77.432,95.996,67.72,91.51
174,77.232,95.854,67.98,91.56
175,77.024,95.818,67.67,91.39
176,77.194,95.954,68.0,91.02
177,76.96,95.854,67.79,91.39
178,76.982,95.822,67.63,91.26
179,76.88,95.776,67.3,91.25
180,76.802,95.818,67.36,91.02
181,76.774,95.764,67.2,91.25
182,76.762,95.806,67.39,91.16
183,76.546,95.818,67.5,91.3
184,76.67,95.866,66.88,90.95
185,76.446,95.612,67.18,91.12
186,76.624,95.71,67.55,91.26
187,76.286,95.65,67.51,91.09
188,76.534,95.674,67.59,91.03
189,76.656,95.71,66.93,90.83
190,76.504,95.608,66.92,91.12
191,76.388,95.668,67.28,91.18
192,76.2,95.564,67.36,90.97
193,76.15,95.66,67.61,91.15
194,76.12,95.556,66.97,90.97
195,75.994,95.49,67.04,91.05
196,75.948,95.586,66.88,91.22
197,76.07,95.546,67.09,91.01
198,76.322,95.486,66.64,91.1
199,75.716,95.426,66.95,91.05
200,75.954,95.464,66.76,91.0
201,75.662,95.498,66.42,90.72
202,76.058,95.454,66.99,90.96
203,75.894,95.502,66.53,91.17
204,75.744,95.52,67.18,91.2
205,75.702,95.42,65.92,90.29
206,75.7,95.338,67.14,91.13
207,75.69,95.376,66.64,91.13
208,75.388,95.454,66.76,90.83
209,75.734,95.484,66.86,90.83
210,75.58,95.382,66.4,90.75
211,75.516,95.396,67.23,90.87
212,75.344,95.266,66.51,90.58
213,75.46,95.35,66.98,90.95
214,75.564,95.332,66.57,90.42
215,75.576,95.406,66.15,90.6
216,75.46,95.328,66.22,91.09
217,75.408,95.418,66.92,91.08
218,75.326,95.194,66.9,91.0
219,75.224,95.268,65.78,90.44
220,75.216,95.188,66.66,90.75
221,75.178,95.228,66.03,90.6
222,75.198,95.3,66.17,90.58
223,75.262,95.236,66.53,91.12
224,75.252,95.22,65.79,90.69
225,77.126,95.882,68.02,91.74
226,77.356,95.934,67.87,91.65
227,77.596,95.996,68.18,91.39
