Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,8.73,28.382,12.57,35.56
1,19.746,48.64,23.16,53.25
2,29.058,61.142,27.79,58.1
3,35.588,68.802,33.6,65.46
4,40.814,73.75,41.35,74.01
5,44.724,77.364,42.09,74.16
6,47.91,79.862,40.1,71.71
7,50.652,81.52,47.47,79.1
8,52.586,83.136,48.91,78.94
9,54.002,84.106,50.35,81.14
10,55.114,85.058,51.13,81.46
11,56.758,85.852,50.49,80.63
12,57.522,86.374,51.07,81.65
13,58.522,87.104,52.68,82.07
14,59.138,87.5,50.09,80.07
15,59.662,87.818,51.36,81.03
16,60.528,88.128,49.23,79.99
17,61.14,88.648,51.7,81.4
18,61.212,88.662,55.55,83.78
19,62.034,88.894,53.9,82.88
20,62.168,89.304,52.3,82.61
21,62.538,89.514,57.58,85.32
22,63.514,89.686,53.31,83.31
23,63.664,89.944,54.71,82.99
24,63.714,90.026,54.31,83.56
25,64.024,90.178,53.83,82.28
26,64.31,90.454,56.17,84.53
27,64.548,90.572,54.73,83.86
28,64.958,90.692,56.14,84.47
29,65.04,90.752,56.2,85.11
30,65.02,90.672,55.94,84.65
31,65.476,91.058,57.13,85.42
32,65.628,90.998,55.97,84.07
33,65.796,91.118,58.2,86.18
34,66.036,91.12,56.48,84.81
35,66.364,91.284,57.16,85.02
36,66.594,91.382,56.07,84.1
37,66.43,91.348,55.82,84.36
38,66.334,91.426,51.81,81.99
39,66.818,91.564,55.84,84.35
40,67.004,91.552,57.69,84.12
41,66.864,91.742,57.98,85.7
42,66.944,91.584,60.43,86.88
43,66.892,91.836,56.33,84.63
44,67.088,91.954,57.58,84.8
45,67.518,91.88,54.95,82.82
46,67.56,91.866,58.85,86.14
47,67.44,91.972,61.25,87.11
48,67.856,91.912,55.37,84.42
49,67.522,91.97,60.08,86.42
50,67.798,92.004,54.22,83.01
51,67.814,92.036,59.47,87.05
52,67.414,92.018,53.06,82.29
53,67.464,92.218,59.2,86.82
54,67.952,92.244,54.88,83.8
55,68.142,92.118,57.6,85.29
56,68.01,92.36,60.08,87.07
57,67.8,92.276,58.38,85.89
58,68.146,92.14,58.76,84.89
59,68.034,92.246,55.04,83.83
60,68.154,92.468,57.63,85.73
61,67.976,92.3,54.62,83.55
62,68.516,92.496,59.64,86.38
63,68.31,92.482,61.95,87.7
64,68.296,92.262,57.13,84.99
65,68.076,92.396,60.15,87.0
66,68.306,92.388,56.35,85.62
67,68.722,92.476,59.29,86.18
68,68.806,92.602,58.14,85.75
69,68.538,92.534,59.47,86.3
70,69.394,92.914,57.87,85.21
71,69.986,93.034,59.25,85.51
72,70.184,93.246,59.22,86.39
73,70.752,93.356,59.66,86.43
74,70.026,93.156,60.39,87.12
75,70.096,93.126,60.0,87.37
76,70.31,93.242,60.54,86.59
77,70.002,93.204,59.81,86.06
78,70.032,93.224,61.5,87.28
79,70.01,93.212,59.8,86.47
80,70.116,93.172,57.74,86.46
81,70.246,93.288,59.16,86.11
82,69.994,93.212,58.84,86.17
83,69.956,93.464,58.43,85.9
84,70.118,93.262,54.52,82.98
85,70.078,93.194,59.35,86.56
86,70.088,93.194,58.0,85.29
87,70.202,93.28,59.78,86.84
88,70.128,93.178,59.44,86.94
89,70.01,93.196,59.69,87.1
90,70.146,93.164,61.4,87.28
91,70.16,93.162,59.55,86.9
92,70.21,93.194,59.95,87.28
93,70.182,93.144,59.19,86.35
94,69.824,93.198,62.15,88.38
95,70.396,93.206,62.23,88.35
96,70.042,93.286,59.8,87.16
97,70.266,93.228,60.31,87.57
98,70.032,93.224,59.44,86.08
99,70.16,93.168,60.77,87.04
100,70.08,93.118,58.66,85.49
101,69.806,93.174,60.87,88.07
102,70.08,93.194,56.16,85.04
103,70.264,93.206,61.57,88.45
104,69.816,93.158,57.41,84.98
105,69.862,93.308,61.61,87.83
106,69.896,93.214,60.35,87.4
107,70.114,93.226,61.26,87.46
108,69.684,93.024,59.48,86.71
109,69.884,93.136,57.78,86.47
110,69.528,93.02,59.15,87.03
111,69.994,93.008,61.62,87.86
112,69.534,93.046,59.28,86.61
113,69.668,93.052,62.25,87.98
114,69.746,92.994,59.42,85.95
115,69.582,93.012,62.07,88.2
116,69.894,93.028,60.1,87.02
117,69.68,93.06,58.1,86.0
118,69.634,92.968,56.75,85.29
119,69.65,93.078,61.57,87.81
120,69.546,92.958,61.15,87.84
121,69.538,92.944,59.22,85.77
122,69.424,92.772,61.57,87.49
123,69.404,92.846,60.67,87.99
124,69.35,92.922,61.79,88.28
125,69.414,92.898,58.5,86.37
126,69.216,92.762,59.09,86.3
127,69.088,92.888,59.28,86.32
128,69.244,92.686,61.53,88.63
129,68.992,92.774,60.98,87.64
130,68.982,92.666,59.24,86.29
131,68.994,92.676,57.35,85.71
132,68.796,92.566,58.86,86.92
133,68.488,92.584,62.46,88.36
134,68.668,92.506,58.33,86.55
135,68.526,92.706,58.7,86.73
136,68.488,92.664,62.3,88.19
137,68.428,92.596,59.68,86.78
138,68.274,92.62,61.07,87.55
139,68.514,92.522,58.2,86.29
140,68.578,92.364,58.82,86.86
141,68.296,92.38,57.72,86.29
142,68.23,92.334,60.67,86.56
143,67.95,92.258,61.51,88.13
144,67.918,92.158,58.21,86.14
145,67.848,92.234,60.11,87.22
146,67.932,92.272,59.5,87.26
147,67.846,92.212,59.59,87.52
148,67.696,92.09,57.27,84.79
149,67.436,91.988,60.26,86.96
150,73.962,94.46,67.44,91.12
151,75.35,95.054,68.39,91.46
152,75.978,95.24,68.26,91.57
153,76.466,95.47,68.2,91.36
154,76.702,95.484,68.32,91.59
155,76.742,95.628,68.04,91.74
156,77.14,95.74,68.23,91.69
157,77.244,95.738,68.2,91.76
158,77.222,95.766,67.91,91.35
159,77.222,95.734,68.03,91.6
160,77.13,95.726,68.02,91.62
161,77.276,95.72,68.18,91.5
162,77.324,95.88,67.92,91.29
163,77.572,95.818,68.47,91.64
164,77.248,95.78,67.68,91.16
165,77.338,95.866,68.03,91.52
166,77.272,95.804,67.87,91.35
167,77.168,95.7,67.56,91.37
168,77.07,95.784,68.03,91.22
169,77.11,95.646,67.97,91.46
170,77.29,95.73,67.59,91.39
171,76.928,95.864,67.15,91.0
172,77.082,95.678,66.93,91.03
173,77.078,95.788,67.02,90.87
174,76.646,95.654,66.86,91.21
175,76.962,95.754,66.96,91.22
176,76.78,95.636,67.24,91.01
177,76.43,95.684,67.31,90.93
178,76.384,95.648,67.16,90.87
179,76.122,95.634,67.05,91.07
180,76.466,95.48,67.09,90.8
181,76.238,95.598,66.96,90.74
182,76.302,95.56,66.27,90.76
183,76.202,95.49,66.57,90.92
184,76.158,95.488,67.04,90.83
185,76.03,95.454,66.37,90.74
186,75.652,95.4,67.04,90.92
187,75.776,95.39,67.0,90.75
188,76.1,95.334,66.72,91.0
189,75.842,95.376,66.17,90.4
190,76.046,95.454,66.49,90.91
191,75.76,95.414,66.46,90.79
192,75.524,95.27,66.49,90.49
193,75.904,95.352,66.57,90.69
194,75.672,95.332,67.05,90.98
195,75.654,95.358,66.47,90.57
196,75.408,95.198,66.01,90.39
197,75.374,95.398,66.76,91.07
198,75.516,95.396,66.54,90.56
199,75.41,95.262,66.64,90.68
200,75.108,95.216,66.91,90.82
201,75.078,95.13,66.45,90.49
202,75.198,95.172,66.71,90.82
203,75.272,95.048,66.01,90.22
204,75.178,95.246,66.31,90.59
205,75.016,95.098,65.52,90.84
206,75.084,95.236,65.62,90.64
207,75.178,95.114,66.0,90.65
208,74.996,95.132,66.24,90.78
209,75.188,95.258,66.27,90.56
210,75.098,95.27,66.04,90.84
211,74.858,95.088,66.42,90.84
212,74.86,95.3,65.34,90.49
213,74.806,95.058,66.22,90.77
214,74.976,95.138,65.23,89.85
215,74.966,95.228,65.65,90.18
216,74.942,95.142,66.12,90.67
217,74.892,95.114,65.7,90.46
218,74.674,95.262,66.19,90.63
219,74.652,95.084,65.29,90.09
220,74.73,95.018,66.19,90.74
221,74.7,95.152,65.49,90.52
222,74.786,94.892,65.94,90.44
223,74.558,95.062,65.78,90.53
224,74.728,95.04,66.0,90.79
225,76.546,95.688,67.52,91.36
226,76.916,95.63,67.4,91.32
227,77.14,95.704,67.49,91.26
228,77.082,95.808,67.17,91.14
229,77.016,95.742,67.55,91.28
230,77.194,95.796,67.15,91.17
231,76.996,95.808,67.6,91.39
232,76.95,95.934,67.65,91.35
233,77.194,95.786,67.3,91.13
234,77.162,95.788,67.59,91.31
235,77.062,95.752,67.43,90.88
236,77.134,95.78,67.29,91.36
237,77.25,95.822,67.61,91.09
238,77.37,95.968,67.44,91.25
239,77.352,95.818,67.59,91.32
240,77.106,95.776,67.52,91.13
241,77.226,95.834,67.49,91.29
242,77.144,95.842,67.3,91.13
243,77.184,95.844,67.59,91.28
244,77.458,95.782,67.11,91.15
245,77.36,95.876,67.87,91.34
246,77.126,95.81,67.33,90.94
247,77.268,95.906,67.67,91.23
248,77.314,95.888,67.37,91.41
249,77.358,95.792,67.49,91.26
250,77.158,95.84,67.8,91.22
251,77.082,95.898,67.46,91.19
252,77.158,95.854,67.63,91.36
253,77.51,95.842,67.22,91.08
254,77.328,95.806,67.6,91.49
255,77.386,95.818,67.53,91.34
256,77.168,95.89,67.53,90.9
257,77.208,95.91,67.43,91.15
258,77.338,95.85,67.41,91.29
259,77.236,95.858,67.47,91.17
260,77.316,95.894,67.28,91.18
261,77.368,95.94,67.3,91.3
262,77.136,95.91,67.23,90.98
263,77.1,95.89,67.71,91.24
264,77.484,96.012,67.56,91.27
265,77.232,95.812,67.6,91.24
266,77.012,95.966,67.57,91.08
267,77.484,95.924,67.73,91.04
268,77.486,96.012,67.58,91.26
269,77.474,95.892,67.42,91.0
270,77.35,95.994,67.46,91.33
271,77.41,95.868,67.48,91.27
272,77.314,95.946,67.58,91.26
273,77.294,95.914,67.58,91.27
274,77.372,95.984,67.34,91.23
275,77.382,95.894,67.58,91.18
276,77.546,95.908,67.09,91.29
277,77.382,95.98,67.59,91.35
278,77.48,95.964,67.24,90.91
279,77.34,95.972,67.39,91.18
280,77.566,95.912,67.61,91.29
281,77.502,95.902,67.23,91.0
282,77.442,96.012,67.38,91.12
283,77.552,95.908,67.56,91.27
284,77.328,95.858,67.56,91.12
285,77.536,95.952,67.63,90.98
286,77.476,95.884,67.58,91.08
287,77.388,95.862,67.78,91.25
288,77.414,95.876,67.4,90.92
289,77.388,95.87,67.7,91.13
290,77.502,95.908,66.9,91.14
291,77.368,95.87,67.41,91.18
292,77.372,95.976,67.03,91.09
293,77.402,96.012,67.58,91.14
294,77.424,95.98,66.82,90.77
295,77.612,95.94,67.4,91.28
296,77.266,95.932,67.42,91.13
297,77.612,95.87,67.5,90.98
298,77.614,95.98,67.41,91.07
299,77.626,95.98,67.64,91.08
