Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,37.048,86.932,46.67,92.04
1,59.074,95.69,63.03,95.75
2,69.212,97.596,57.12,91.35
3,74.608,98.298,64.3,96.96
4,77.72,98.68,73.29,97.69
5,79.644,98.85,75.25,98.7
6,81.102,99.066,75.5,98.03
7,82.364,99.16,72.67,97.57
8,83.298,99.196,81.46,99.05
9,83.982,99.318,79.66,98.94
10,84.398,99.334,76.33,98.66
11,85.254,99.394,82.55,99.14
12,85.51,99.446,81.76,99.09
13,85.952,99.45,79.83,98.83
14,86.246,99.45,81.58,98.94
15,86.594,99.514,81.94,99.11
16,86.818,99.508,80.92,99.22
17,87.114,99.538,83.16,99.13
18,87.214,99.6,83.89,99.49
19,87.57,99.592,82.33,99.08
20,87.628,99.59,81.3,99.35
21,87.846,99.564,82.68,99.15
22,87.97,99.588,85.34,99.52
23,88.076,99.644,82.76,99.36
24,88.12,99.622,80.6,99.07
25,88.33,99.62,84.51,99.2
26,88.562,99.674,84.5,99.27
27,88.602,99.612,83.65,99.1
28,88.65,99.646,83.15,99.08
29,88.888,99.62,82.35,98.78
30,88.776,99.66,80.99,98.76
31,88.81,99.656,83.91,99.41
32,89.028,99.66,84.83,99.39
33,89.076,99.686,84.66,99.15
34,89.27,99.708,85.84,99.48
35,89.202,99.692,86.36,99.55
36,89.266,99.698,84.33,99.23
37,89.352,99.686,85.0,99.19
38,89.29,99.686,86.09,99.43
39,89.308,99.708,82.71,99.31
40,89.584,99.622,82.88,99.22
41,89.408,99.69,86.19,99.38
42,89.568,99.696,83.58,99.03
43,89.662,99.674,78.63,98.85
44,89.592,99.712,84.46,99.44
45,89.582,99.716,81.15,98.53
46,89.522,99.726,82.52,98.74
47,89.534,99.724,85.55,99.25
48,89.648,99.704,79.91,98.62
49,89.828,99.768,86.59,99.44
50,90.03,99.748,84.03,99.07
51,89.84,99.726,82.74,99.05
52,89.896,99.726,84.27,99.44
53,89.78,99.686,83.88,99.29
54,89.892,99.732,85.91,99.57
55,89.814,99.712,82.2,99.18
56,89.822,99.712,83.78,99.39
57,89.898,99.706,83.16,99.36
58,89.882,99.744,84.75,99.42
59,89.878,99.73,86.36,99.32
60,90.02,99.7,82.01,99.21
61,89.862,99.69,84.01,99.46
62,89.746,99.706,83.39,99.33
63,89.81,99.73,86.83,99.62
64,89.876,99.7,85.13,99.45
65,90.018,99.714,82.85,99.23
66,90.16,99.708,81.71,99.13
67,89.836,99.706,85.04,99.4
68,90.01,99.728,84.52,99.43
69,90.074,99.706,85.56,99.47
70,90.284,99.738,87.27,99.39
71,90.398,99.754,86.55,99.52
72,90.024,99.768,86.8,99.6
73,90.416,99.744,87.48,99.49
74,90.144,99.762,86.35,99.41
75,90.274,99.73,85.91,99.43
76,90.422,99.716,86.87,99.38
77,90.208,99.758,84.67,99.47
78,90.288,99.772,86.84,99.43
79,90.446,99.742,84.51,99.37
80,90.22,99.764,85.42,99.4
81,90.326,99.752,85.05,99.44
82,90.024,99.726,84.77,99.24
83,90.36,99.744,77.29,97.75
84,90.28,99.738,86.06,99.44
85,90.292,99.704,84.23,99.12
86,90.328,99.708,84.25,99.09
87,90.362,99.71,86.0,99.25
88,90.156,99.72,85.0,99.04
89,90.356,99.704,87.13,99.42
90,90.266,99.746,85.09,98.93
91,90.27,99.736,85.25,99.38
92,90.366,99.734,86.15,99.47
93,90.342,99.738,84.9,99.23
94,90.552,99.76,86.71,99.45
95,90.162,99.712,81.39,99.31
96,90.706,99.728,83.08,99.05
97,90.314,99.762,85.89,99.29
98,90.37,99.722,85.0,99.37
99,90.618,99.732,87.53,99.56
100,90.428,99.73,87.26,99.58
101,90.39,99.706,80.54,98.79
102,90.498,99.728,80.53,98.78
103,90.21,99.714,87.22,99.53
104,90.434,99.744,85.21,99.45
105,90.552,99.726,86.96,99.51
106,90.496,99.746,86.38,99.35
107,90.328,99.712,87.97,99.55
108,90.414,99.72,85.43,99.05
109,90.256,99.728,85.95,99.34
110,90.762,99.778,83.15,98.86
111,90.482,99.78,83.22,99.2
112,90.644,99.766,87.45,99.57
113,90.594,99.742,87.44,99.51
114,90.472,99.75,87.43,99.61
115,90.518,99.746,87.22,99.45
116,90.404,99.812,86.74,99.63
117,90.464,99.74,83.45,99.45
118,90.564,99.706,86.4,99.47
119,90.496,99.742,85.27,99.39
120,90.454,99.742,86.8,99.46
121,90.522,99.736,85.1,99.36
122,90.666,99.752,84.32,99.4
123,90.352,99.758,85.42,99.44
124,90.46,99.77,83.49,99.22
125,90.312,99.7,86.17,99.15
126,90.696,99.788,84.79,99.24
127,90.274,99.76,86.38,99.39
128,90.338,99.768,83.03,99.03
129,90.752,99.714,87.61,99.43
130,90.7,99.722,87.37,99.57
131,90.536,99.7,83.39,99.02
132,90.788,99.768,85.22,99.37
133,90.6,99.73,85.63,99.33
134,90.56,99.754,85.35,99.12
135,90.344,99.728,85.5,99.24
136,90.36,99.718,85.24,99.5
137,90.468,99.69,84.39,99.21
138,90.588,99.692,84.17,99.19
139,90.586,99.738,85.06,99.44
140,90.386,99.744,85.18,99.25
141,90.346,99.712,84.6,99.26
142,90.568,99.73,85.81,99.49
143,90.468,99.766,86.79,99.31
144,90.568,99.79,84.16,98.97
145,90.482,99.724,86.45,99.52
146,90.536,99.722,84.21,98.96
147,90.74,99.712,84.88,99.38
148,90.46,99.758,84.98,99.54
149,90.568,99.744,86.71,99.37
150,93.888,99.892,91.82,99.81
151,95.32,99.936,92.22,99.79
152,95.762,99.932,92.17,99.84
153,95.934,99.946,92.4,99.84
154,96.23,99.938,92.46,99.83
155,96.556,99.954,92.24,99.85
156,96.528,99.96,92.66,99.83
157,96.626,99.96,92.61,99.83
158,96.82,99.96,92.89,99.84
159,96.968,99.96,92.53,99.84
160,96.982,99.97,92.42,99.79
161,96.924,99.968,92.31,99.8
162,97.2,99.972,92.52,99.77
163,97.054,99.962,92.44,99.83
164,97.296,99.972,92.56,99.81
165,97.356,99.972,92.52,99.84
166,97.374,99.97,92.66,99.84
167,97.404,99.98,92.33,99.82
168,97.516,99.972,92.21,99.8
169,97.542,99.988,92.38,99.81
170,97.546,99.97,92.22,99.81
171,97.568,99.97,92.62,99.77
172,97.526,99.98,92.14,99.81
173,97.634,99.992,92.32,99.81
174,97.584,99.988,91.79,99.73
175,97.708,99.988,92.33,99.77
176,97.754,99.988,92.46,99.76
177,97.876,99.99,92.37,99.79
178,97.786,99.982,92.01,99.83
179,97.834,99.992,92.16,99.87
180,97.738,99.992,91.63,99.83
181,97.784,99.988,92.13,99.76
182,97.866,99.988,92.21,99.74
183,97.878,99.984,92.04,99.75
184,97.898,99.98,92.13,99.79
185,97.744,99.984,92.42,99.71
186,98.026,99.986,92.23,99.74
187,97.948,99.994,91.52,99.76
188,97.818,99.99,91.76,99.76
189,97.982,99.994,92.22,99.8
190,98.034,99.996,92.06,99.72
191,97.684,99.99,91.93,99.75
192,97.95,99.996,91.82,99.71
193,97.946,99.99,92.22,99.74
194,98.066,99.992,91.99,99.77
195,97.876,99.988,92.12,99.68
196,97.926,99.988,92.01,99.71
197,98.036,99.996,92.12,99.75
198,98.036,99.998,91.8,99.8
199,97.746,99.99,91.74,99.7
200,97.95,99.988,92.04,99.77
