Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,7.99,26.452,11.96,36.97
1,18.68,47.086,18.6,45.98
2,28.83,61.026,26.42,58.48
3,36.332,69.208,37.75,70.3
4,40.974,74.01,38.59,69.65
5,44.892,77.284,39.98,72.43
6,47.89,79.842,43.78,75.25
7,50.418,81.814,45.35,77.15
8,52.464,82.872,43.12,75.61
9,53.958,83.95,46.19,76.03
10,55.364,85.104,45.66,77.06
11,56.53,85.546,50.63,81.07
12,58.084,86.562,48.75,78.9
13,58.656,87.084,49.87,79.54
14,59.186,87.514,52.43,81.93
15,60.36,87.738,52.51,81.49
16,60.874,88.378,51.99,81.75
17,61.334,88.696,49.82,79.18
18,61.63,88.886,55.21,84.17
19,62.576,89.096,54.62,83.19
20,62.78,89.36,54.18,82.34
21,63.312,89.604,54.71,82.52
22,63.372,89.708,46.27,75.55
23,63.49,90.004,55.13,83.92
24,64.126,90.048,56.04,84.4
25,64.098,90.318,53.62,82.08
26,64.592,90.464,57.02,85.09
27,65.0,90.558,56.27,84.58
28,65.076,90.75,57.17,84.88
29,65.426,90.724,54.98,83.16
30,65.592,90.862,56.89,84.84
31,65.83,90.894,58.02,85.42
32,65.914,91.21,57.17,84.81
33,65.868,91.16,55.41,83.63
34,66.27,91.31,56.84,85.32
35,66.168,91.412,56.51,84.39
36,66.244,91.238,57.64,85.44
37,66.664,91.582,56.46,85.15
38,66.908,91.548,54.85,83.25
39,67.096,91.474,55.57,83.8
40,66.926,91.722,57.27,85.13
41,66.99,91.742,55.15,83.81
42,67.304,91.59,58.94,86.11
43,67.266,91.922,57.9,86.16
44,67.55,92.032,59.31,85.98
45,67.39,91.99,56.25,84.97
46,67.344,91.832,57.16,85.49
47,67.558,92.032,58.02,85.68
48,67.978,92.022,57.85,85.98
49,67.738,92.356,59.14,86.08
50,67.95,92.224,57.47,86.03
51,68.178,92.266,57.34,84.87
52,68.218,92.194,55.95,84.65
53,67.982,92.292,54.21,81.85
54,68.392,92.516,52.52,81.9
55,68.264,92.354,56.83,85.15
56,68.446,92.386,60.39,86.7
57,68.718,92.502,55.5,84.26
58,68.13,92.358,58.97,86.2
59,68.59,92.418,55.53,83.65
60,68.656,92.592,58.46,85.5
61,68.482,92.52,55.68,84.4
62,69.082,92.724,58.59,85.93
63,68.436,92.564,59.02,86.59
64,68.778,92.61,57.69,85.52
65,69.124,92.874,60.2,86.31
66,68.968,92.618,58.33,85.62
67,68.9,92.82,57.82,85.84
68,69.044,92.732,57.85,85.01
69,68.938,92.786,59.04,85.97
70,69.896,93.026,56.22,84.17
71,70.21,93.28,62.55,87.81
72,70.388,93.358,60.47,87.19
73,70.472,93.106,59.53,86.11
74,70.416,93.312,60.87,87.27
75,70.178,93.26,55.54,83.8
76,70.416,93.36,61.68,87.55
77,70.54,93.236,59.51,86.67
78,70.444,93.376,60.67,86.84
79,70.446,93.348,59.92,87.1
80,70.308,93.444,61.4,87.94
81,70.708,93.482,59.09,86.14
82,70.502,93.504,59.5,85.74
83,70.394,93.346,61.77,88.0
84,70.794,93.316,59.38,86.41
85,70.662,93.49,60.26,87.17
86,70.54,93.3,57.64,85.8
87,70.684,93.374,62.5,88.33
88,70.624,93.454,59.03,86.12
89,70.734,93.37,59.38,86.65
90,70.808,93.574,62.14,87.7
91,70.834,93.494,61.77,88.22
92,70.552,93.456,61.03,88.42
93,70.604,93.444,60.51,87.31
94,70.76,93.31,60.58,86.88
95,70.71,93.586,60.86,86.72
96,70.504,93.568,60.98,87.5
97,70.624,93.428,60.54,86.93
98,70.876,93.364,59.89,86.81
99,70.896,93.474,60.1,87.25
100,70.792,93.462,59.77,86.52
101,70.684,93.526,60.55,87.69
102,70.87,93.576,54.28,83.12
103,70.726,93.632,60.05,86.69
104,70.782,93.5,59.56,86.03
105,70.666,93.448,59.34,86.6
106,70.456,93.422,59.93,87.23
107,70.518,93.382,60.2,86.64
108,70.922,93.582,61.15,87.62
109,70.77,93.53,59.4,86.17
110,70.872,93.578,60.85,86.91
111,70.632,93.462,60.76,87.58
112,70.962,93.4,59.77,86.26
113,70.678,93.47,59.96,87.2
114,70.804,93.49,60.06,87.3
115,70.534,93.472,59.55,87.2
116,70.822,93.538,59.04,86.33
117,70.862,93.558,58.42,85.76
118,70.782,93.372,56.33,84.8
119,70.84,93.432,60.57,87.52
120,70.338,93.452,59.18,86.79
121,70.792,93.438,61.79,88.04
122,70.368,93.476,61.89,88.08
123,70.722,93.508,61.68,87.8
124,70.978,93.54,61.44,87.49
125,70.386,93.388,59.14,86.3
126,70.598,93.454,60.86,87.49
127,70.382,93.308,62.75,88.63
128,70.272,93.474,58.86,87.08
129,70.346,93.32,59.51,86.78
130,70.316,93.202,60.95,86.66
131,70.356,93.27,61.85,88.04
132,70.384,93.346,58.91,86.88
133,70.488,93.248,60.88,87.47
134,70.108,93.254,57.69,85.05
135,70.492,93.304,60.68,87.7
136,70.308,93.28,60.58,87.98
137,70.16,93.336,60.79,87.54
138,70.306,93.278,60.98,87.79
139,70.156,93.346,60.92,87.37
140,70.352,93.382,59.27,86.89
141,70.146,93.226,58.12,84.96
142,69.974,93.204,61.9,88.12
143,70.062,93.228,62.5,88.48
144,70.158,93.218,59.2,86.79
145,69.926,93.322,61.39,87.57
146,70.016,93.216,57.67,85.01
147,70.098,93.09,60.18,86.43
148,69.798,93.048,55.56,84.46
149,69.748,93.108,61.36,88.18
150,77.058,95.5,69.26,91.91
151,78.596,96.24,69.56,91.9
152,79.374,96.458,69.86,92.15
153,79.738,96.468,69.9,92.08
154,80.092,96.67,69.86,92.23
155,80.368,96.798,69.92,92.19
156,80.556,96.828,69.89,92.35
157,80.672,96.87,69.5,91.82
158,81.154,97.004,70.01,92.09
159,81.036,96.988,69.31,92.0
160,81.322,97.002,69.46,91.93
161,81.544,97.074,69.84,92.14
162,81.596,97.152,69.76,92.12
163,81.582,97.114,69.77,92.04
164,81.612,97.196,70.04,92.03
165,81.84,97.188,69.92,92.19
166,81.752,97.138,70.07,92.26
167,81.852,97.32,70.12,92.08
168,81.836,97.3,70.01,92.16
169,81.662,97.276,69.35,92.08
170,82.1,97.274,69.91,92.02
171,81.968,97.298,69.63,92.23
172,81.99,97.3,69.65,92.0
173,82.024,97.384,69.42,91.91
174,82.148,97.426,69.75,91.82
175,82.082,97.364,69.65,91.84
176,82.164,97.366,69.82,92.02
177,82.216,97.38,69.25,92.08
178,81.938,97.436,69.2,91.87
179,82.276,97.44,69.75,91.89
180,82.28,97.396,69.35,91.99
181,82.264,97.392,69.41,92.01
182,82.028,97.37,69.37,91.8
183,82.168,97.398,68.96,91.81
184,82.064,97.464,68.9,91.37
185,81.988,97.396,69.27,91.7
186,82.184,97.45,69.3,91.66
187,82.158,97.4,68.7,91.67
188,81.988,97.354,68.97,91.44
189,82.04,97.448,68.91,91.45
190,81.952,97.436,68.89,91.68
191,81.972,97.478,69.53,91.81
192,81.786,97.428,68.91,91.5
193,82.098,97.444,69.1,91.65
194,82.002,97.412,68.93,91.73
195,82.052,97.412,69.04,91.63
196,82.116,97.418,68.88,91.5
197,81.978,97.464,69.49,91.83
198,82.002,97.39,68.04,91.09
199,82.078,97.318,68.76,91.44
200,81.904,97.416,68.87,91.75
201,81.812,97.34,68.6,91.45
202,82.054,97.408,69.07,91.56
203,81.686,97.45,68.89,91.35
204,81.714,97.366,69.59,91.81
205,81.772,97.382,68.41,91.36
206,81.854,97.374,68.77,91.64
207,81.684,97.412,68.94,91.62
208,81.832,97.358,68.46,91.54
209,81.676,97.4,68.42,91.42
210,81.764,97.322,67.77,91.37
211,81.748,97.426,68.54,91.56
212,81.668,97.33,67.39,90.97
213,81.552,97.354,69.21,91.55
214,81.808,97.292,68.6,91.11
215,81.358,97.328,68.39,91.34
216,81.754,97.434,68.73,91.48
217,81.546,97.318,68.87,91.37
218,81.566,97.396,68.72,91.23
219,81.642,97.276,68.51,91.43
