Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,8.27,26.978,12.57,37.23
1,17.838,45.91,22.92,53.74
2,27.63,59.492,26.11,58.33
3,35.05,67.902,35.63,68.61
4,40.096,73.12,38.2,71.54
5,44.042,76.656,40.7,72.7
6,47.658,79.36,39.81,72.77
7,50.086,81.376,44.66,76.18
8,52.092,82.578,47.73,79.34
9,53.532,83.576,49.1,79.66
10,54.798,84.448,45.21,77.35
11,56.168,85.304,50.92,81.08
12,56.902,85.688,50.34,81.27
13,57.494,86.334,52.31,81.92
14,58.55,86.852,47.76,78.91
15,58.96,87.388,54.12,83.21
16,59.64,87.694,49.83,79.96
17,60.604,87.96,52.21,81.4
18,60.588,88.294,51.4,82.17
19,61.094,88.298,52.24,81.81
20,61.304,88.452,51.11,81.62
21,62.092,88.908,55.73,84.05
22,61.684,89.158,55.84,85.11
23,62.528,89.216,54.69,84.24
24,62.93,89.466,56.95,85.03
25,62.896,89.536,54.94,83.59
26,63.176,89.576,53.64,83.46
27,63.224,89.726,55.82,85.19
28,63.412,89.852,55.6,83.9
29,63.672,89.908,55.02,84.33
30,63.882,90.03,53.96,83.57
31,63.7,90.154,57.26,85.39
32,64.222,90.236,54.82,84.28
33,64.314,90.354,56.61,84.8
34,64.58,90.364,55.1,83.81
35,64.638,90.546,54.05,82.51
36,64.702,90.816,51.37,81.4
37,64.928,90.702,54.2,83.58
38,65.206,90.79,57.34,85.56
39,65.264,90.858,56.41,84.47
40,65.256,90.892,55.63,84.52
41,65.058,90.884,55.39,83.86
42,65.314,90.92,55.79,83.64
43,65.548,90.782,57.39,85.54
44,65.794,91.06,55.89,84.43
45,65.58,91.032,52.59,82.42
46,65.716,91.106,55.53,84.4
47,66.004,91.156,53.25,83.29
48,65.646,91.112,56.03,84.54
49,65.68,91.174,51.71,80.74
50,65.884,90.998,57.54,85.51
51,65.788,90.984,55.71,84.4
52,65.84,91.16,55.11,83.61
53,65.964,91.25,55.08,83.67
54,65.956,91.272,57.65,85.63
55,66.008,91.27,56.01,85.3
56,66.072,91.354,57.57,85.78
57,65.966,91.162,56.58,85.48
58,65.946,91.248,56.08,84.63
59,66.142,91.468,56.51,84.9
60,66.094,91.19,53.88,82.66
61,65.926,91.274,56.04,83.93
62,66.072,91.144,55.68,84.26
63,65.904,91.462,56.7,84.83
64,65.786,91.282,54.76,83.87
65,66.16,91.2,53.29,82.21
66,66.162,91.188,51.08,81.84
67,65.864,91.314,57.33,85.42
68,66.224,91.326,57.01,84.7
69,66.004,91.25,56.41,84.57
70,66.3,91.182,52.19,81.96
71,66.104,91.412,55.34,84.36
72,66.326,91.52,53.11,81.77
73,65.982,91.31,56.96,84.87
74,66.16,91.286,56.57,84.94
75,66.194,91.438,52.99,82.23
76,66.136,91.322,54.68,83.55
77,65.89,91.44,55.29,85.14
78,66.158,91.38,54.44,83.63
79,66.214,91.416,54.13,82.84
80,66.15,91.244,55.95,83.56
81,65.996,91.368,56.95,85.72
82,65.92,91.264,55.87,83.49
83,65.93,91.204,56.89,85.54
84,65.976,91.304,55.95,83.99
85,65.966,91.228,57.13,85.43
86,66.264,91.304,56.58,85.43
87,66.152,91.168,55.43,83.71
88,66.084,91.28,55.41,83.31
89,66.136,91.354,57.34,85.27
90,65.95,91.256,57.39,85.78
91,65.996,91.254,54.83,83.21
92,66.104,91.21,56.97,85.0
93,65.998,91.298,53.47,82.87
94,66.144,91.088,55.85,83.32
95,66.036,91.022,55.11,84.22
96,65.954,91.202,55.91,84.14
97,65.93,91.206,54.23,82.69
98,66.094,91.142,58.46,86.43
99,66.14,91.266,50.82,80.5
100,66.034,91.272,57.6,86.18
101,65.89,91.108,53.49,81.54
102,65.934,91.204,57.73,85.03
103,65.98,91.182,54.36,82.6
