Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,8.018,26.522,12.7,36.25
1,18.596,46.29,22.01,52.57
2,28.532,60.3,27.3,59.06
3,35.678,68.644,31.78,63.63
4,40.934,73.838,40.83,74.02
5,44.798,77.4,41.92,74.24
6,47.78,79.838,42.85,75.02
7,50.528,81.756,48.14,78.89
8,52.8,83.016,46.44,76.76
9,54.022,84.228,48.75,80.09
10,55.654,85.034,48.85,79.44
11,56.734,86.006,49.27,80.21
12,57.874,86.668,49.49,79.76
13,58.804,86.922,48.42,78.18
14,59.656,87.484,55.91,84.2
15,60.06,87.966,52.45,81.94
16,60.612,88.318,51.34,80.92
17,61.22,88.664,54.79,83.9
18,61.776,88.834,53.63,83.64
19,62.434,89.262,55.37,83.98
20,63.136,89.46,54.85,83.49
21,62.972,89.628,52.16,80.92
22,63.65,89.98,53.74,83.27
23,63.854,89.966,50.92,80.35
24,64.342,90.264,53.14,82.83
25,64.61,90.406,56.24,84.35
26,64.618,90.726,55.19,83.32
27,64.654,90.664,53.22,82.92
28,65.096,90.694,58.9,86.36
29,65.382,90.868,54.9,83.9
30,65.536,91.046,57.58,85.42
31,65.878,91.07,56.51,84.66
32,65.8,91.16,58.41,86.36
33,66.118,91.356,57.82,85.23
34,66.2,91.166,56.81,84.67
35,66.546,91.636,58.65,86.2
36,66.54,91.426,53.37,83.45
37,66.506,91.662,59.32,86.66
38,66.768,91.556,53.7,82.92
39,67.3,91.8,56.67,85.0
40,66.754,91.616,57.17,84.42
41,67.04,91.822,58.01,85.84
42,67.102,91.962,57.16,84.6
43,67.34,91.914,56.05,85.17
44,67.216,91.838,57.77,85.66
45,67.558,91.952,54.83,83.72
46,67.806,92.036,56.18,84.19
47,67.622,92.058,59.37,87.01
48,67.522,92.096,57.89,85.93
49,68.018,92.13,57.32,84.47
50,68.112,92.208,55.12,83.46
51,67.824,92.088,56.88,85.32
52,68.07,92.274,55.82,84.05
53,67.98,92.35,58.31,85.69
54,68.2,92.308,53.36,82.95
55,68.03,92.426,57.8,86.14
56,68.234,92.334,60.82,86.86
57,68.478,92.41,55.91,84.03
58,68.75,92.45,59.73,86.57
59,68.366,92.436,56.15,85.55
60,68.386,92.344,56.51,85.22
61,68.378,92.446,53.8,83.76
62,68.634,92.554,58.91,86.28
63,68.502,92.572,59.73,86.65
64,68.722,92.446,60.38,87.58
65,68.68,92.798,58.34,85.83
66,68.852,92.582,57.86,85.43
67,68.69,92.716,60.48,86.79
68,68.832,92.728,56.34,84.15
69,68.508,92.58,60.0,86.81
70,69.64,92.922,53.17,82.71
71,69.928,93.272,60.85,87.01
72,70.538,93.332,60.97,87.09
73,70.144,93.188,60.17,86.84
74,70.45,93.288,61.5,87.18
75,70.39,93.404,59.1,85.78
76,70.43,93.47,59.81,86.85
77,70.056,93.21,58.85,86.47
78,70.254,93.274,60.76,87.51
79,70.466,93.142,60.77,87.5
80,70.44,93.316,59.01,86.39
81,70.048,93.242,63.75,88.36
82,70.276,93.304,59.56,87.4
83,70.322,93.334,59.51,86.71
84,70.58,93.236,56.53,84.66
85,70.432,93.246,58.26,86.43
86,70.476,93.404,56.61,85.34
87,70.674,93.392,62.14,87.62
88,70.354,93.344,60.45,87.14
89,70.322,93.322,59.41,85.99
90,70.32,93.254,60.83,87.15
91,70.504,93.47,59.6,86.81
92,70.296,93.452,62.57,88.07
93,70.356,93.202,58.89,85.84
94,70.566,93.324,62.38,88.59
95,70.41,93.54,59.21,86.91
96,70.264,93.358,58.29,86.34
97,70.42,93.416,61.53,88.15
98,70.224,93.218,61.34,88.15
99,70.336,93.226,60.91,87.42
100,70.29,93.276,60.26,87.13
101,70.112,93.27,60.58,86.47
102,70.24,93.294,59.04,86.53
103,70.524,93.356,59.77,86.55
104,70.384,93.298,61.14,88.03
105,70.202,93.29,59.55,86.03
106,70.236,93.282,61.05,87.32
107,70.462,93.228,60.49,87.11
108,70.044,93.28,59.66,87.56
109,70.192,93.198,57.38,84.76
110,69.954,93.104,57.72,85.99
111,70.076,93.302,61.95,88.31
112,70.278,93.268,62.02,88.6
113,69.896,93.128,62.22,88.06
114,69.87,93.112,59.26,87.09
115,70.266,93.136,62.08,88.55
116,69.724,93.178,61.91,87.66
117,69.796,93.032,60.96,87.94
118,70.182,93.144,57.57,84.88
119,69.502,92.904,60.89,87.48
120,69.88,93.088,59.3,86.46
121,69.702,93.162,58.06,86.48
122,69.736,93.08,60.19,87.17
123,69.344,93.066,61.61,88.1
124,69.686,92.818,60.13,87.53
125,69.51,93.048,58.24,86.28
126,69.5,92.984,59.43,86.43
127,69.62,93.04,62.72,88.92
128,69.486,92.724,59.76,86.96
129,69.126,92.966,61.98,87.79
130,69.532,92.884,61.18,87.26
131,69.242,92.698,63.52,88.47
132,69.046,92.702,54.16,83.78
