Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,39.476,88.276,49.66,92.59
1,62.224,96.256,61.64,96.6
2,70.936,97.776,70.81,98.41
3,75.456,98.374,72.85,98.63
4,77.972,98.616,66.59,96.9
5,79.782,98.88,79.18,98.86
6,81.224,98.98,71.53,98.53
7,82.388,99.144,70.37,96.56
8,83.402,99.228,79.94,99.16
9,84.174,99.298,80.72,98.83
10,84.41,99.312,83.04,99.23
11,84.742,99.392,83.15,99.17
12,85.5,99.442,82.78,99.22
13,85.886,99.382,75.28,98.76
14,86.062,99.456,83.08,99.12
15,86.476,99.506,82.15,99.08
16,86.956,99.516,82.23,99.14
17,87.086,99.5,80.77,99.03
18,87.266,99.552,81.49,98.93
19,87.408,99.542,79.88,98.58
20,87.584,99.556,83.61,99.41
21,87.754,99.594,84.03,99.27
22,87.95,99.61,84.6,99.17
23,88.048,99.586,82.45,99.21
24,88.224,99.586,81.92,98.27
25,88.538,99.642,83.06,99.2
26,88.424,99.644,83.04,99.06
27,88.552,99.644,84.79,99.28
28,88.85,99.618,84.73,99.39
29,88.736,99.67,83.08,99.25
30,88.786,99.65,82.75,98.99
31,88.87,99.62,81.68,98.76
32,88.996,99.66,83.85,99.05
33,89.204,99.696,81.55,98.04
34,89.02,99.676,80.09,98.59
35,88.998,99.684,84.91,99.25
36,89.096,99.686,85.92,99.32
37,89.146,99.664,84.33,99.31
38,89.27,99.718,85.08,99.38
39,89.478,99.682,83.32,99.23
40,89.404,99.724,83.19,99.53
41,89.398,99.66,83.55,99.21
42,89.538,99.682,83.42,99.2
43,89.548,99.684,81.91,98.99
44,89.458,99.686,85.68,99.34
45,89.546,99.72,84.01,99.4
46,89.648,99.73,81.71,99.21
47,89.692,99.734,84.1,99.36
48,89.586,99.712,84.67,99.53
49,89.474,99.702,82.25,99.27
50,89.492,99.718,85.49,99.26
51,89.54,99.664,80.32,98.53
52,89.638,99.676,80.63,98.92
53,89.662,99.694,86.09,99.29
