Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,8.65,27.71,14.14,39.72
1,19.414,47.864,21.11,50.4
2,28.978,60.782,29.9,61.68
3,35.484,68.686,37.47,70.18
4,40.452,73.632,37.82,68.74
5,44.566,77.228,42.49,75.49
6,48.116,79.714,43.05,75.04
7,50.662,81.616,46.33,78.69
8,52.298,82.922,50.7,80.65
9,54.152,84.318,50.76,81.54
10,55.456,85.05,48.77,79.43
11,56.678,85.886,51.17,81.22
12,57.482,86.28,50.08,81.01
13,58.73,86.896,50.62,81.1
14,59.062,87.704,52.08,83.08
15,59.712,87.756,53.84,83.61
16,60.33,88.018,54.25,83.88
17,61.242,88.508,53.85,82.99
18,61.43,88.744,48.43,79.37
19,61.806,89.098,54.09,83.88
20,62.414,89.188,52.36,81.33
21,63.024,89.554,55.28,84.75
22,63.24,89.88,53.96,83.76
23,63.41,89.964,56.99,85.73
24,63.98,90.158,51.04,81.79
25,64.002,90.18,56.01,84.01
26,64.318,90.184,55.17,83.86
27,64.6,90.578,53.82,82.62
28,64.866,90.736,57.34,85.35
29,65.16,90.826,51.53,81.61
30,65.146,90.736,58.19,85.65
31,65.376,91.038,56.11,84.64
32,65.542,91.072,56.53,85.72
33,65.834,91.22,54.87,84.24
34,66.01,91.246,55.73,84.26
35,66.2,91.232,56.99,85.58
36,66.75,91.46,57.56,85.75
37,66.36,91.522,55.28,84.37
38,66.596,91.508,50.76,81.33
39,66.72,91.438,54.53,83.75
40,66.94,91.736,58.65,85.73
41,66.938,91.77,54.45,83.64
42,67.2,91.722,58.12,86.0
43,66.902,91.834,55.43,83.46
44,66.952,91.908,59.01,86.56
45,67.376,91.872,54.77,83.43
46,67.462,92.004,59.05,86.2
47,67.444,92.046,58.35,85.76
48,67.61,92.028,57.25,85.47
49,67.376,92.16,59.74,87.06
50,67.798,92.294,57.57,85.22
51,67.812,91.902,60.09,87.13
52,68.016,92.218,57.0,84.53
53,67.88,92.168,57.58,85.64
54,68.022,92.182,52.75,81.13
55,67.846,92.394,56.77,84.44
56,68.076,92.392,60.82,87.21
57,67.968,92.326,59.26,87.03
58,68.21,92.498,57.51,85.05
59,68.144,92.52,53.36,82.92
60,68.654,92.488,57.67,85.05
61,68.566,92.442,53.75,82.22
62,68.658,92.586,59.87,86.78
63,68.406,92.552,60.42,87.59
64,68.418,92.554,58.17,86.03
65,68.612,92.438,57.99,85.44
66,68.788,92.38,59.66,86.74
67,68.754,92.486,56.2,83.75
68,68.486,92.636,55.11,83.48
69,68.572,92.55,58.43,85.78
70,69.586,92.878,54.02,83.11
71,69.984,93.09,58.28,85.45
72,70.376,93.304,59.79,87.23
73,70.036,93.062,60.36,87.61
74,70.1,93.106,59.29,86.16
75,70.22,93.198,54.48,83.64
76,70.17,93.056,61.01,87.34
77,69.824,93.02,57.95,85.9
78,69.998,93.078,60.82,87.22
79,70.286,93.314,59.52,86.65
80,70.118,93.2,58.63,85.99
81,70.12,93.238,60.9,87.6
82,70.17,93.192,60.46,87.04
83,70.06,93.202,61.07,87.36
84,70.154,93.29,60.29,86.77
85,69.99,93.256,61.64,88.17
86,70.268,93.214,59.09,86.7
87,70.092,93.252,58.44,85.67
88,70.594,93.436,57.63,85.03
89,70.14,93.276,59.01,86.12
90,70.388,93.286,61.83,88.1
91,70.302,93.322,59.08,86.55
92,70.044,93.274,57.95,85.17
93,70.302,93.282,56.52,84.46
94,70.398,93.278,59.97,86.51
95,70.6,93.234,60.16,86.75
96,70.66,93.434,61.0,87.92
97,70.23,93.33,60.71,87.81
98,70.378,93.34,59.7,87.07
99,70.36,93.27,59.01,86.2
100,70.442,93.444,58.95,85.61
101,70.582,93.28,58.82,85.96
102,70.136,93.226,55.94,84.28
103,70.518,93.314,60.31,87.57
104,70.614,93.36,60.59,87.08
105,70.114,93.298,59.02,87.08
106,70.128,93.19,60.62,87.78
107,70.596,93.304,60.81,87.64
108,70.518,93.276,61.52,87.95
109,70.148,93.34,59.48,87.07
110,70.524,93.342,62.64,88.68
111,70.374,93.172,59.82,87.22
112,70.512,93.22,61.05,88.49
113,70.126,93.428,61.66,88.11
114,70.268,93.326,60.54,87.43
115,70.198,93.292,59.87,87.11
116,70.256,93.408,59.59,86.42
117,70.044,93.202,61.09,87.48
118,70.01,93.22,58.81,87.09
119,70.486,93.374,62.26,88.98
120,70.116,93.196,60.8,87.72
121,70.162,93.36,61.57,87.76
122,70.364,93.408,60.54,87.53
123,70.254,93.272,59.74,86.93
124,70.446,93.214,61.31,87.51
125,70.268,93.136,59.02,86.59
126,70.166,93.256,62.38,88.21
127,70.24,93.204,61.53,87.6
128,70.306,93.292,57.53,85.09
129,69.806,93.298,60.49,87.46
130,70.006,93.228,60.75,87.47
131,70.078,93.27,62.09,88.28
132,70.072,93.298,60.77,87.89
133,70.03,93.15,61.39,87.71
134,69.972,93.084,57.59,86.02
135,70.016,93.196,59.56,86.82
136,69.674,93.204,60.61,87.79
137,69.944,93.134,59.97,87.04
138,70.114,93.206,63.31,88.93
139,69.68,93.21,59.85,88.07
140,69.804,93.152,61.8,87.96
141,69.774,93.11,57.35,85.67
142,69.572,93.036,62.19,88.67
143,69.714,93.092,62.15,88.02
144,69.44,93.066,60.98,88.21
145,69.564,93.122,62.13,88.39
146,69.884,93.21,62.1,88.79
147,69.432,92.986,61.5,88.16
148,69.398,93.072,59.04,86.01
149,69.678,93.09,61.27,88.08
150,76.218,95.396,69.06,91.8
151,77.954,95.994,69.99,92.28
152,78.878,96.298,69.77,92.47
153,79.266,96.312,69.9,92.36
154,79.656,96.514,70.17,92.58
155,79.726,96.676,69.93,92.37
156,80.154,96.694,70.0,92.39
157,80.248,96.786,69.5,92.33
158,80.406,96.926,69.48,92.44
159,80.588,96.844,70.09,92.66
160,80.866,96.936,70.1,92.48
161,80.812,96.922,69.93,92.43
162,80.906,96.896,69.69,92.23
163,81.04,97.028,70.16,92.45
164,81.082,97.08,69.69,92.36
165,81.198,97.028,69.86,92.19
166,81.224,97.108,70.14,92.32
167,81.392,97.132,69.78,92.43
168,81.418,97.182,69.61,92.25
169,81.49,97.172,69.58,92.24
170,81.516,97.168,69.84,92.4
171,81.348,97.228,69.75,92.26
