Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,41.676,89.042,49.87,93.36
1,62.674,96.438,66.38,96.61
2,71.032,97.902,70.35,98.08
3,75.324,98.398,74.3,98.46
4,77.78,98.704,76.16,98.43
5,79.686,98.898,77.39,98.57
6,81.352,99.116,79.19,98.79
7,82.44,99.228,78.94,98.9
8,83.168,99.322,80.97,98.89
9,83.972,99.342,79.31,98.41
10,84.68,99.36,79.7,98.88
11,85.234,99.434,80.25,99.08
12,85.718,99.478,78.88,98.83
13,85.802,99.468,80.43,99.17
14,86.212,99.446,83.27,99.29
15,86.496,99.512,80.05,98.16
16,86.814,99.528,80.67,99.09
17,87.188,99.53,84.85,99.37
18,87.48,99.584,82.82,99.31
19,87.594,99.598,82.67,99.22
20,87.926,99.568,84.39,99.16
21,87.944,99.576,81.51,99.17
22,88.03,99.63,84.1,99.36
23,88.444,99.644,86.2,99.53
24,88.502,99.648,83.37,99.38
25,88.42,99.666,83.47,98.89
26,88.526,99.67,78.78,97.99
27,88.552,99.658,82.17,98.92
28,88.854,99.664,81.38,99.15
29,88.832,99.67,81.11,98.86
30,89.146,99.638,82.88,99.07
31,89.28,99.68,85.57,99.31
32,89.32,99.72,83.86,99.29
33,89.316,99.696,83.33,98.7
34,89.498,99.712,81.04,99.21
35,89.678,99.732,77.93,99.02
36,89.75,99.698,86.3,99.37
37,89.658,99.742,86.49,99.48
38,89.708,99.676,84.75,99.19
39,89.802,99.684,86.29,99.43
40,89.918,99.726,84.34,99.12
41,89.91,99.726,85.47,99.24
42,90.062,99.722,87.7,99.57
43,90.308,99.752,83.47,99.21
44,90.012,99.732,84.73,99.11
45,90.07,99.762,80.02,99.06
46,90.004,99.766,86.06,99.5
47,90.166,99.744,81.66,98.6
48,90.168,99.76,83.83,99.34
49,90.468,99.776,85.9,99.36
50,90.426,99.722,86.26,99.31
51,90.308,99.75,86.24,99.37
52,90.46,99.74,84.37,99.21
53,90.36,99.77,85.69,99.51
54,90.358,99.764,81.09,98.95
55,90.55,99.732,84.49,99.3
56,90.364,99.764,86.38,99.36
57,90.426,99.764,82.02,98.95
58,90.66,99.764,84.01,99.39
59,90.598,99.788,84.71,99.33
60,90.464,99.774,85.03,99.24
61,90.626,99.746,82.82,99.35
62,90.714,99.784,87.71,99.46
63,90.602,99.812,87.15,99.36
64,90.562,99.788,86.71,99.44
65,90.816,99.754,88.17,99.58
66,90.888,99.766,85.34,99.39
67,90.826,99.754,88.02,99.62
68,90.69,99.768,86.0,99.4
69,90.872,99.782,84.69,98.96
70,91.536,99.842,86.75,99.41
71,92.002,99.842,87.39,99.57
72,92.204,99.852,84.78,99.42
73,92.16,99.852,86.29,99.41
74,92.102,99.864,87.78,99.7
75,92.012,99.84,86.89,99.42
76,92.222,99.846,86.47,99.56
77,92.056,99.814,86.78,99.44
78,92.114,99.838,88.26,99.52
79,92.098,99.838,83.93,99.35
80,92.23,99.826,85.72,99.49
81,92.162,99.832,87.22,99.47
82,92.08,99.85,85.42,99.5
83,92.272,99.822,86.45,99.3
84,92.026,99.818,86.96,99.54
85,92.26,99.864,86.69,99.5
86,92.178,99.88,87.77,99.35
87,92.222,99.828,88.59,99.49
88,92.07,99.828,88.78,99.61
89,92.196,99.85,88.5,99.57
90,92.02,99.836,85.49,99.26
91,92.214,99.852,86.76,99.57
92,92.23,99.822,85.03,99.55
93,92.308,99.83,87.23,99.38
94,92.348,99.856,85.6,99.49
95,92.386,99.832,87.92,99.45
96,92.276,99.858,88.11,99.57
97,92.242,99.86,87.86,99.63
98,92.162,99.838,87.25,99.61
99,92.296,99.832,86.54,99.43
100,92.204,99.814,85.92,99.52
101,92.204,99.814,87.77,99.63
102,92.33,99.83,85.43,99.28
103,92.33,99.84,89.26,99.69
104,92.206,99.856,89.12,99.58
105,92.162,99.856,88.15,99.64
106,92.25,99.82,88.4,99.62
107,92.286,99.846,86.7,99.48
108,92.398,99.858,87.94,99.51
109,92.24,99.83,86.48,99.38
110,92.264,99.816,88.5,99.57
111,92.198,99.85,88.03,99.64
112,92.03,99.846,88.2,99.49
113,92.174,99.832,89.12,99.63
114,92.124,99.828,88.49,99.7
115,92.228,99.842,88.16,99.47
116,92.226,99.834,86.48,99.33
117,92.056,99.84,88.9,99.58
118,92.236,99.816,89.27,99.6
119,92.208,99.822,87.94,99.65
120,92.018,99.836,87.97,99.61
121,92.21,99.812,86.99,99.51
122,92.082,99.816,88.73,99.52
123,92.174,99.82,87.69,99.57
124,92.046,99.8,88.62,99.64
125,91.992,99.836,87.74,99.56
126,92.11,99.826,89.25,99.7
127,92.062,99.792,86.51,99.32
128,92.06,99.838,89.22,99.59
129,92.002,99.816,89.03,99.74
130,91.876,99.81,87.72,99.33
131,92.096,99.814,87.6,99.53
132,92.022,99.81,87.44,99.4
133,91.94,99.838,88.86,99.7
134,92.052,99.82,87.51,99.43
135,91.95,99.816,87.92,99.65
136,91.82,99.83,87.25,99.37
137,91.95,99.82,87.98,99.61
138,91.712,99.822,88.21,99.65
139,91.888,99.828,86.41,99.47
140,91.684,99.828,89.44,99.64
141,91.732,99.82,86.67,99.69
142,91.854,99.816,87.85,99.58
143,91.606,99.818,88.9,99.61
144,91.46,99.808,85.83,99.53
145,91.638,99.808,87.91,99.59
146,91.542,99.82,86.12,99.22
147,91.638,99.776,87.17,99.66
148,91.572,99.79,88.2,99.7
149,91.666,99.776,88.34,99.58
150,93.92,99.87,91.41,99.81
151,94.756,99.928,91.84,99.84
152,95.126,99.932,91.76,99.84
153,95.26,99.932,91.97,99.82
154,95.422,99.936,92.25,99.81
155,95.604,99.934,92.55,99.87
156,95.73,99.952,92.07,99.84
157,95.61,99.95,92.32,99.87
158,95.718,99.934,92.24,99.88
159,95.788,99.944,91.92,99.88
160,95.888,99.944,92.4,99.84
161,95.774,99.938,92.45,99.85
162,95.982,99.964,92.36,99.82
163,95.992,99.952,92.43,99.86
164,96.132,99.954,92.29,99.83
165,96.084,99.962,92.27,99.86
166,96.002,99.966,92.38,99.84
167,95.966,99.956,91.9,99.8
168,95.964,99.958,92.53,99.85
169,96.0,99.966,92.23,99.84
170,96.038,99.962,92.32,99.87
171,96.072,99.962,92.28,99.79
172,96.192,99.954,92.06,99.82
173,96.02,99.946,92.2,99.87
174,96.188,99.962,92.2,99.83
175,96.09,99.962,92.05,99.88
176,96.138,99.96,91.9,99.88
177,96.048,99.96,92.09,99.83
178,95.934,99.948,92.22,99.83
179,96.058,99.936,92.44,99.85
180,95.874,99.94,92.2,99.81
181,96.072,99.944,92.21,99.86
182,95.948,99.954,92.23,99.84
183,95.954,99.956,92.04,99.82
184,96.026,99.948,91.69,99.79
185,95.926,99.94,91.94,99.79
186,95.944,99.95,92.12,99.79
187,95.91,99.954,92.14,99.8
188,95.998,99.962,92.0,99.8
189,96.002,99.954,91.78,99.76
190,95.984,99.942,92.18,99.85
191,96.008,99.946,91.73,99.81
192,95.936,99.956,92.14,99.8
193,96.06,99.96,91.92,99.82
194,95.844,99.944,91.69,99.81
195,95.932,99.952,91.82,99.84
196,95.796,99.946,91.71,99.83
197,95.852,99.958,91.26,99.77
198,95.874,99.954,91.61,99.8
199,95.87,99.948,92.02,99.83
200,95.834,99.962,91.75,99.82
201,95.758,99.946,91.76,99.77
202,95.806,99.948,91.67,99.81
203,95.748,99.944,91.92,99.79
204,95.888,99.952,91.89,99.8
205,95.824,99.952,91.46,99.8
206,95.672,99.942,91.59,99.78
207,95.672,99.954,91.7,99.79
208,95.712,99.94,91.74,99.81
209,95.746,99.946,91.76,99.83
210,95.744,99.954,91.43,99.77
211,95.752,99.944,91.82,99.81
212,95.69,99.948,91.6,99.76
213,95.642,99.94,91.65,99.78
214,95.674,99.96,91.72,99.82
215,95.628,99.952,91.64,99.8
216,95.688,99.936,91.39,99.78
217,95.728,99.94,91.77,99.82
218,95.554,99.948,91.58,99.84
219,95.612,99.948,91.65,99.76
220,95.662,99.958,91.46,99.83
221,95.644,99.964,91.87,99.76
222,95.594,99.948,91.62,99.79
223,95.67,99.96,91.24,99.76
224,95.77,99.96,91.71,99.76
225,96.162,99.962,92.13,99.84
226,96.444,99.956,92.15,99.8
227,96.502,99.96,92.2,99.84
228,96.602,99.964,92.33,99.84
229,96.686,99.962,92.22,99.81
230,96.594,99.964,92.18,99.82
231,96.642,99.962,92.19,99.82
232,96.658,99.962,92.32,99.85
233,96.64,99.966,92.09,99.8
234,96.628,99.964,92.25,99.82
235,96.79,99.962,92.18,99.82
236,96.854,99.962,92.16,99.84
237,96.738,99.966,92.31,99.82
238,96.742,99.974,92.37,99.83
239,96.872,99.97,92.23,99.84
240,96.708,99.976,92.19,99.84
241,96.852,99.966,92.24,99.79
242,96.718,99.974,92.42,99.81
243,96.784,99.972,92.17,99.78
244,96.858,99.978,92.09,99.78
245,96.89,99.966,92.3,99.8
246,96.808,99.968,92.3,99.84
247,96.86,99.976,92.1,99.81
248,96.86,99.972,92.28,99.82
249,96.914,99.952,92.36,99.83
250,96.946,99.984,92.22,99.84
251,96.946,99.972,92.05,99.82
252,96.91,99.97,92.27,99.8
253,96.872,99.97,92.26,99.82
254,96.992,99.978,92.37,99.84
255,96.904,99.964,92.3,99.82
256,96.926,99.976,92.22,99.83
257,96.864,99.96,92.28,99.79
258,96.944,99.968,92.25,99.82
259,96.958,99.978,92.01,99.8
260,96.872,99.974,92.17,99.81
261,96.99,99.968,92.21,99.82
262,97.048,99.958,92.26,99.82
263,96.882,99.958,92.22,99.81
264,96.99,99.974,92.29,99.77
265,96.926,99.962,92.3,99.83
266,97.004,99.972,92.29,99.81
267,97.018,99.978,92.24,99.79
268,97.044,99.986,92.34,99.83
269,97.024,99.98,92.4,99.8
270,96.978,99.98,92.32,99.83
271,96.934,99.974,92.31,99.79
272,96.966,99.958,92.24,99.83
273,96.994,99.97,92.39,99.84
274,97.138,99.98,92.27,99.83
275,96.966,99.988,92.18,99.85
276,96.954,99.974,92.19,99.84
277,97.03,99.97,92.25,99.84
278,97.048,99.976,92.3,99.82
279,97.046,99.972,92.3,99.83
280,97.098,99.988,92.34,99.84
281,97.096,99.978,92.25,99.8
282,97.054,99.978,92.34,99.83
283,97.042,99.976,92.19,99.8
284,97.03,99.968,92.3,99.84
285,97.004,99.978,92.39,99.79
286,97.094,99.98,92.27,99.8
287,97.162,99.976,92.26,99.84
288,97.028,99.972,92.52,99.81
289,96.902,99.97,92.36,99.81
290,97.11,99.972,92.17,99.79
291,97.076,99.968,92.19,99.8
292,96.964,99.974,92.17,99.82
293,97.078,99.98,92.11,99.79
294,97.106,99.966,92.3,99.8
295,97.004,99.972,92.15,99.8
296,97.022,99.972,92.37,99.83
297,97.142,99.984,92.24,99.81
298,96.96,99.98,92.3,99.84
299,96.946,99.982,92.27,99.84
