Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,40.48,88.79,44.23,92.94
1,62.506,96.46,62.1,96.99
2,70.894,97.818,70.65,97.89
3,75.142,98.418,66.87,96.63
4,77.666,98.646,69.48,97.2
5,79.212,98.862,74.83,98.13
6,80.844,98.974,74.99,98.42
7,81.98,99.062,79.59,98.89
8,82.972,99.21,78.79,99.17
9,83.606,99.226,78.79,98.67
10,84.1,99.328,80.86,99.07
11,84.82,99.346,80.98,98.92
12,85.242,99.41,79.07,98.77
13,85.744,99.442,80.75,98.88
14,86.208,99.45,81.72,98.95
15,86.306,99.44,80.08,98.96
16,86.554,99.504,81.45,98.91
17,87.07,99.568,82.64,99.28
18,87.35,99.516,83.24,99.35
19,87.35,99.572,83.76,99.37
20,87.55,99.546,82.5,99.19
21,87.71,99.584,81.53,99.04
22,87.892,99.586,84.97,99.44
23,88.18,99.69,83.79,99.26
24,88.17,99.614,84.8,99.52
25,88.258,99.65,80.28,99.02
26,88.482,99.598,84.76,99.44
27,88.592,99.652,84.81,99.31
28,88.934,99.688,84.12,98.95
29,88.968,99.662,82.45,98.7
30,89.258,99.71,85.62,99.34
31,89.114,99.708,84.49,99.46
32,89.382,99.704,84.42,99.22
33,89.182,99.714,84.27,99.4
34,89.426,99.722,86.63,99.52
35,89.484,99.692,85.25,99.22
36,89.41,99.692,82.65,99.11
37,89.64,99.694,85.29,99.38
38,89.836,99.68,80.51,98.13
39,89.494,99.694,84.57,99.56
40,89.974,99.714,84.47,99.18
41,89.782,99.7,84.34,99.24
42,90.28,99.726,85.66,99.21
43,90.132,99.706,84.38,99.42
44,90.158,99.758,84.23,99.33
45,90.248,99.762,83.5,98.98
46,90.002,99.778,83.81,99.21
47,90.144,99.762,86.34,99.46
48,90.056,99.742,85.6,99.28
49,90.332,99.682,84.68,99.26
50,90.158,99.72,85.28,99.42
51,90.412,99.75,87.09,99.58
52,90.34,99.7,83.09,98.66
53,90.33,99.756,81.45,98.44
54,90.436,99.762,84.95,99.5
55,90.51,99.75,85.18,99.35
56,90.476,99.754,86.51,99.2
57,90.638,99.756,83.16,99.3
58,90.638,99.728,86.68,99.42
59,90.45,99.764,83.92,99.24
60,90.428,99.744,87.35,99.53
61,90.37,99.728,82.74,98.94
62,90.752,99.78,87.21,99.4
