Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,37.586,86.84,52.03,94.29
1,60.644,95.988,64.15,96.68
2,70.702,97.7,71.6,97.92
3,75.382,98.438,72.97,98.2
4,78.028,98.644,73.79,98.3
5,79.74,98.832,74.46,98.68
6,81.492,98.98,80.87,98.99
7,82.842,99.206,79.24,98.8
8,83.426,99.198,80.66,98.99
9,84.098,99.312,75.03,98.32
10,84.73,99.392,79.68,98.42
11,85.12,99.39,76.68,98.8
12,85.644,99.368,81.46,99.1
13,86.198,99.458,80.2,99.06
14,86.43,99.474,83.01,99.31
15,86.388,99.54,82.89,99.05
16,86.986,99.562,80.6,98.96
17,87.17,99.582,83.35,99.36
18,87.698,99.576,81.31,99.16
19,87.696,99.588,85.24,99.35
20,87.878,99.562,83.99,99.23
21,88.226,99.572,80.81,99.18
22,88.21,99.648,83.18,99.19
23,88.532,99.62,84.99,99.3
24,88.554,99.644,83.7,99.25
25,88.77,99.666,82.24,99.4
26,88.72,99.622,84.58,99.22
27,88.93,99.662,83.13,99.29
28,88.972,99.666,84.79,99.51
29,88.98,99.664,84.35,99.28
30,89.23,99.674,86.42,99.52
31,89.254,99.714,85.8,99.5
32,89.252,99.7,84.92,99.38
33,89.442,99.646,83.26,99.08
34,89.574,99.706,83.9,99.18
35,89.636,99.722,83.68,99.13
36,89.592,99.708,82.86,98.85
37,89.874,99.754,87.56,99.62
38,89.824,99.728,85.26,99.4
39,89.816,99.726,85.23,99.27
40,90.034,99.744,87.11,99.53
41,90.012,99.744,85.88,99.46
42,90.18,99.71,85.11,99.3
43,90.108,99.724,85.48,99.4
44,90.17,99.74,85.24,99.12
45,90.14,99.736,86.6,99.15
46,90.074,99.73,85.32,99.26
47,90.254,99.766,87.09,99.37
48,90.206,99.736,85.94,99.32
49,90.378,99.738,85.82,99.45
50,90.244,99.74,86.05,99.42
51,90.5,99.762,84.93,99.31
52,90.398,99.756,83.66,99.21
53,90.484,99.778,83.92,99.45
54,90.496,99.742,83.81,99.31
55,90.442,99.74,83.3,99.29
56,90.602,99.734,86.08,99.49
57,90.272,99.76,86.13,99.46
58,90.452,99.76,86.56,99.53
59,90.692,99.764,81.98,99.11
60,90.354,99.746,83.26,99.21
61,90.652,99.746,86.37,99.27
62,90.938,99.758,85.84,99.22
63,90.884,99.772,87.17,99.5
64,90.662,99.778,87.51,99.59
65,90.768,99.764,87.18,99.4
66,90.562,99.75,86.27,99.34
67,91.114,99.804,84.63,99.42
68,90.874,99.798,84.41,99.24
69,90.856,99.788,84.91,99.0
70,91.798,99.796,86.24,99.5
71,91.878,99.84,87.46,99.54
72,91.914,99.798,86.51,99.46
73,92.266,99.85,83.89,99.0
74,91.986,99.842,83.61,99.21
75,92.018,99.84,88.36,99.71
76,92.242,99.844,89.77,99.67
77,92.07,99.852,85.87,99.4
78,91.982,99.82,89.14,99.73
79,92.166,99.836,88.93,99.55
80,92.022,99.854,87.42,99.42
81,92.036,99.836,85.71,99.42
82,92.292,99.828,87.03,99.39
83,92.242,99.81,87.37,99.58
84,91.864,99.84,88.89,99.57
85,92.138,99.834,86.78,99.6
86,92.212,99.838,86.33,99.44
87,92.262,99.826,83.06,99.28
88,92.148,99.836,84.62,99.51
89,92.234,99.836,87.62,99.5
90,92.308,99.834,88.26,99.44
91,92.29,99.814,87.04,99.47
92,92.402,99.852,89.17,99.51
93,92.16,99.826,87.71,99.65
94,92.412,99.844,87.68,99.57
95,92.14,99.87,88.36,99.43
96,92.288,99.844,88.43,99.52
97,92.44,99.848,88.91,99.45
98,92.452,99.844,87.24,99.47
99,92.598,99.868,85.82,98.94
100,92.25,99.826,87.82,99.58
101,92.514,99.86,87.01,99.47
102,92.602,99.84,87.37,99.57
103,92.44,99.81,87.1,99.22
104,92.474,99.836,88.51,99.67
105,92.334,99.808,88.56,99.68
106,92.278,99.862,86.62,99.46
107,92.11,99.858,87.65,99.35
108,92.576,99.854,86.18,99.31
109,92.24,99.85,85.22,99.4
110,92.326,99.832,85.88,99.42
111,92.53,99.874,89.35,99.65
112,92.446,99.86,88.28,99.65
113,92.456,99.85,88.26,99.56
114,92.458,99.882,87.72,99.63
115,92.374,99.874,87.93,99.63
116,92.538,99.87,86.43,99.56
117,92.346,99.826,88.45,99.61
118,92.296,99.828,86.13,99.35
119,92.476,99.836,88.12,99.57
120,92.24,99.824,89.12,99.61
121,92.518,99.864,88.82,99.59
122,92.53,99.856,87.14,99.59
123,92.078,99.858,87.19,99.59
124,92.27,99.844,90.05,99.7
125,92.292,99.824,85.01,99.43
126,92.278,99.824,87.02,99.6
127,92.384,99.836,87.83,99.5
128,92.272,99.808,89.02,99.61
129,92.316,99.832,86.66,99.53
130,92.256,99.826,88.24,99.67
131,92.408,99.83,87.02,99.5
132,92.278,99.828,88.48,99.62
133,92.242,99.856,86.11,99.54
134,92.192,99.836,85.63,99.3
135,92.312,99.87,88.44,99.57
136,92.252,99.83,88.29,99.46
137,92.262,99.83,88.64,99.7
138,92.424,99.828,87.05,99.49
139,92.186,99.846,87.74,99.59
140,92.164,99.806,88.96,99.67
141,92.156,99.838,87.13,99.5
142,92.3,99.822,87.21,99.45
143,92.36,99.832,88.84,99.48
144,92.202,99.806,88.71,99.63
145,92.236,99.844,87.02,99.47
146,92.164,99.82,87.26,99.51
147,92.278,99.818,87.91,99.5
148,92.156,99.79,86.06,99.33
149,92.114,99.806,88.42,99.53
150,94.804,99.894,92.24,99.78
151,95.516,99.942,92.62,99.8
152,95.852,99.95,92.55,99.76
153,96.184,99.958,92.5,99.84
154,96.256,99.96,92.78,99.85
