Epoch,Acc@1_train,Acc@5_train,Acc@1_valid,Acc@5_valid
0,41.974,89.378,48.92,93.42
1,63.622,96.598,63.04,96.32
2,71.206,97.952,72.36,98.05
3,75.636,98.438,74.15,98.37
4,77.768,98.686,75.29,98.61
5,79.696,98.848,78.76,98.72
6,81.33,99.01,77.93,98.85
7,82.352,99.128,79.57,99.15
8,83.15,99.206,77.33,98.41
9,84.012,99.286,78.35,99.11
10,84.49,99.342,80.29,98.99
11,85.23,99.382,80.02,98.55
12,85.516,99.41,81.39,99.18
13,85.984,99.444,78.57,99.03
14,86.16,99.448,82.91,99.05
15,86.544,99.484,81.35,99.08
16,86.958,99.53,84.16,99.31
17,87.132,99.504,83.55,99.25
18,87.272,99.572,78.35,99.11
19,87.552,99.57,83.38,99.2
20,87.778,99.626,82.48,99.34
21,88.018,99.626,83.15,99.28
22,88.174,99.584,83.67,99.32
23,88.16,99.586,85.28,99.26
24,88.382,99.636,82.14,99.1
25,88.416,99.628,83.5,99.25
26,88.604,99.638,86.1,99.36
27,88.948,99.67,84.99,99.38
28,88.948,99.636,84.94,99.35
29,88.93,99.712,76.28,98.05
30,89.23,99.706,83.87,99.28
31,89.064,99.71,85.6,99.33
32,88.908,99.668,84.31,99.35
33,89.126,99.694,86.79,99.45
34,89.344,99.7,86.23,99.4
35,89.62,99.728,86.58,99.52
36,89.51,99.7,80.89,99.1
37,89.628,99.716,85.1,99.32
38,89.77,99.726,75.34,98.58
39,89.59,99.726,84.96,99.36
40,89.796,99.716,86.84,99.44
41,89.836,99.676,82.54,98.78
42,89.574,99.722,86.9,99.53
43,90.062,99.722,83.35,99.22
44,89.844,99.726,84.01,99.22
45,90.118,99.712,83.79,99.26
46,90.198,99.76,84.87,99.19
47,90.102,99.728,84.56,99.38
48,89.948,99.742,83.11,99.41
49,90.144,99.744,86.29,99.59
50,90.292,99.772,83.99,99.29
51,90.426,99.756,81.79,99.22
52,90.314,99.77,86.08,99.52
53,90.272,99.742,84.37,99.24
54,90.464,99.748,85.93,99.34
55,90.27,99.746,86.66,99.53
56,90.642,99.77,87.61,99.5
57,90.54,99.738,87.41,99.6
58,90.442,99.742,84.56,99.46
59,90.654,99.784,81.15,98.96
60,90.87,99.786,86.62,99.49
61,90.504,99.776,81.74,99.32
62,90.686,99.756,86.15,99.34
63,90.69,99.758,86.4,99.46
64,90.644,99.772,83.2,98.86
65,90.608,99.784,86.39,99.37
66,90.57,99.758,86.33,99.4
67,90.808,99.802,85.6,99.28
68,90.684,99.786,81.18,99.14
69,90.778,99.736,85.57,99.5
70,91.814,99.83,85.3,99.47
71,91.732,99.852,87.7,99.52
72,91.932,99.862,87.26,99.51
73,91.884,99.842,87.26,99.56
74,92.048,99.808,88.7,99.62
75,91.922,99.796,85.84,99.37
76,91.896,99.808,87.72,99.56
77,91.824,99.842,86.19,99.05
78,92.068,99.838,87.92,99.57
79,92.022,99.814,87.39,99.62
80,92.078,99.846,87.83,99.62
81,91.928,99.838,87.75,99.61
82,92.042,99.834,85.46,99.31
83,92.286,99.862,88.39,99.53
84,91.938,99.834,87.44,99.39
85,92.118,99.838,87.26,99.54
86,92.156,99.836,87.29,99.64
87,92.184,99.84,89.32,99.61
88,92.13,99.836,86.18,99.38
89,92.062,99.834,87.54,99.45
90,92.266,99.838,89.33,99.68
91,92.322,99.83,87.73,99.33
92,92.064,99.838,85.2,99.29
93,92.216,99.838,86.7,99.41
94,92.196,99.822,87.17,99.58
95,92.16,99.878,87.81,99.7
96,92.114,99.84,86.66,99.52
97,92.218,99.818,88.44,99.49
98,92.196,99.824,87.91,99.6
99,92.356,99.842,88.74,99.64
100,92.214,99.848,88.49,99.55
101,92.278,99.828,86.71,99.51
102,92.062,99.844,85.67,99.47
103,92.296,99.854,87.14,99.5
104,92.362,99.882,88.73,99.46
105,92.33,99.858,87.48,99.39
106,92.35,99.874,88.58,99.56
107,92.328,99.844,88.49,99.58
108,92.542,99.846,84.92,99.4
109,92.336,99.812,86.4,99.52
110,92.348,99.858,88.93,99.59
111,92.336,99.822,88.96,99.59
112,92.476,99.822,88.99,99.62
113,92.26,99.83,86.53,99.13
114,92.386,99.84,88.17,99.66
115,92.558,99.854,87.55,99.54
116,92.304,99.834,87.82,99.61
117,92.372,99.83,88.31,99.56
118,92.174,99.84,88.08,99.65
119,92.114,99.84,88.55,99.65
120,92.446,99.842,88.61,99.64
121,92.384,99.86,88.73,99.45
122,92.404,99.85,85.0,99.33
123,92.394,99.86,87.22,99.5
124,92.25,99.842,86.99,99.41
125,92.43,99.82,88.42,99.64
126,92.36,99.836,88.24,99.52
127,92.26,99.84,87.94,99.49
128,92.21,99.822,88.82,99.64
129,92.278,99.834,88.61,99.51
130,92.44,99.85,87.76,99.56
131,92.276,99.832,87.64,99.38
132,92.28,99.816,88.34,99.56
133,92.372,99.828,86.11,99.45
134,92.528,99.832,88.5,99.49
135,92.25,99.838,87.14,99.61
136,92.396,99.838,88.21,99.58
137,92.108,99.844,88.15,99.53
138,92.396,99.826,88.76,99.7
139,92.162,99.816,88.28,99.55
140,92.336,99.808,88.62,99.66
141,92.392,99.83,84.15,99.09
142,92.09,99.842,88.0,99.58
143,92.256,99.802,88.03,99.6
144,92.052,99.822,89.16,99.62
145,92.182,99.778,87.2,99.52
146,92.096,99.828,89.05,99.6
147,92.124,99.812,88.79,99.63
148,92.26,99.858,88.4,99.68
149,92.248,99.828,87.61,99.56
150,94.724,99.908,92.46,99.79
151,95.596,99.93,92.52,99.77
152,95.934,99.94,92.67,99.79
153,96.088,99.94,92.79,99.8
154,96.26,99.95,92.96,99.81
155,96.392,99.952,92.6,99.84
156,96.5,99.966,92.97,99.81
157,96.662,99.966,93.01,99.82
158,96.732,99.938,93.06,99.8
159,96.834,99.97,93.01,99.78
160,96.852,99.954,92.96,99.8
161,96.954,99.956,92.62,99.83
162,97.068,99.96,92.95,99.77
163,97.014,99.968,93.08,99.81
164,97.128,99.986,93.16,99.79
165,97.216,99.968,93.04,99.86
166,97.122,99.964,92.96,99.85
167,97.284,99.978,92.99,99.74
168,97.294,99.984,92.92,99.8
